study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q001,What tables store information about patients?,concept_lookup,simple,True,1.0,0.979861259172271,46,proceed,adequate,0,True,"The patients table stores demographic and administrative information including MRN, name, date of birth, gender, contact details, and emergency contacts. Additionally, patient-related data is stored in diagnoses, treatments, medications, lab_results, appointments, and claims tables through foreign key relationships.","The knowledge graph includes a `PATIENTS` table that stores patient demographic and administrative information. It also indicates other clinical/billing tables that reference patients via foreign keys (the tables that store related information about patients) including `CLAIMS` (`claims.patient_id` → `patients.patient_id`, NOT NULL), `TREATMENTS` (`treatments.patient_id` → `patients.patient_id`, NOT NULL), `MEDICATIONS` (`medications.patient_id` → `patients.patient_id`, NOT NULL), `LAB_RESULTS` (`lab_results.patient_id` → `patients.patient_id`), `APPOINTMENTS` (`appointments.patient_id` → `patients.patient_id`, NOT NULL), and `DIAGNOSES` (`diagnoses.patient_id` → `patients.patient_id`, NOT NULL)."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q002,How are medical diagnoses coded and classified?,concept_lookup,simple,True,1.0,0.7,32,proceed,adequate,0,True,"Diagnoses are stored in the diagnoses table with ICD-10-CM codes (icd_10_code field). They are classified into four types: 'principal' (primary condition), 'comorbidity' (additional conditions), 'admitting' (condition causing admission), and 'secondary'. Each diagnosis includes the diagnosis name, type, the provider who made it, diagnosis date, and optional resolution date.","Medical diagnoses are coded using ICD-10-CM (International Classification of Diseases, 10th Revision, Clinical Modification) for billing and epidemiological purposes. A patient may have multiple concurrent diagnoses, and there is a concept of “principal diagnosis,” which is the primary condition chiefly responsible for admission; this principal diagnosis determines the primary diagnosis-related group (DRG) for billing purposes. Comorbidities are any additional diagnoses that exist simultaneously with the principal diagnosis, and they affect patient complexity scores and reimbursement levels under risk-adjusted payment models. Diagnoses are stored in a DIAGNOSES table that includes ICD-10 code mappings, descriptive names, type, an associated provider, and temporal validity with auditing metadata."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q003,What information is tracked for medications prescribed to patients?,concept_lookup,simple,True,1.0,0.8410438772856567,44,proceed,adequate,0,True,"The medications table tracks medication name, National Drug Code (NDC), dosage, route of administration (oral, IV, IM, topical, inhaled, subcutaneous), frequency, prescribing provider, start date, and end date. Active medications have a NULL end_date. The table uses temporal historization with valid_from and valid_to timestamps.","The `medications` table tracks patient medication prescriptions and administrations, including medication details and administration information. Specifically, each medication record includes the medication name (`medication_name`), National Drug Code (`ndc_code`), dosage (`dosage`), route of administration (`route`), and administration frequency (`frequency`). It also tracks the prescribing provider (`prescribing_provider_id`), the validity/therapy period with a start date (`start_date`) and an optional end date (`end_date`, which is NULL if ongoing), and audit and lifecycle timestamps such as `valid_from`, `valid_to`, `created_at`, and `updated_at`. It additionally includes a soft-delete flag (`is_deleted`)."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q004,How are healthcare providers organized and tracked?,concept_lookup,simple,True,1.0,0.7,35,proceed,adequate,0,True,"Providers are stored in the providers table with a unique National Provider Identifier (NPI), name, provider type (MD, DO, NP, PA, RN, PT, Other), specialty, and department affiliation. Providers have is_active and is_deleted flags for status tracking. The table uses temporal historization to track credential and affiliation changes over time.","Healthcare providers are organized and tracked primarily through the `PROVIDERS` table and its relationship to `DEPARTMENTS`.

The `PROVIDERS` table stores healthcare provider information and credentials, keyed by `provider_id` (PRIMARY KEY). Each provider also has an `npi` that is `UNIQUE NOT NULL`, along with required name fields `first_name` and `last_name` (`NOT NULL`). Providers are classified by `provider_type`, which is constrained to one of `('MD', 'DO', 'NP', 'PA', 'RN', 'PT', 'Other')`. Providers can be associated to a department via `department_id`, which is an FK to `departments.department_id`. The table also tracks provider lifecycle using `is_active` (BOOLEAN with DEFAULT `TRUE`), a soft-delete flag `is_deleted` (BOOLEAN with DEFAULT `FALSE`), and record validity timestamps `valid_from` (DEFAULT `CURRENT_TIMESTAMP`) and `valid_to`, plus audit timestamps `created_at` and `updated_at` (both default `CURRENT_TIMESTAMP`).

The `DEPARTMENTS` table defines the organizational structure providers can belong to. Each department has `department_id` (PRIMARY KEY), `department_name` (`NOT NULL`), and a `department_code` (`UNIQUE NOT NULL`). Departments can be hierarchical through `parent_department_id`, which is an FK back to `departments.department_id` (self-referential). Departments also include `service_line`, `location`, and lifecycle tracking via `is_active` (DEFAULT `TRUE`) and `is_deleted` (DEFAULT `FALSE`), along with `valid_from`, `valid_to`, `created_at`, and `updated_at` defaults.

In terms of how providers are “tracked” beyond organization, the `PROVIDERS` table includes business rules and supporting indexes for lookup and filtering: indexes exist on NPI, provider name (last/first), department affiliation, active providers, and validity ranges, and most are scoped to non-deleted records (and active status where applicable). The context also notes that “providers may have privileges in multiple departments,” but this is described as a business rule; the only explicit schema linkage shown is `providers.department_id -> departments.department_id`."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q005,What is the structure of departments and how do they relate to each other?,concept_lookup,simple,True,1.0,0.7,31,proceed,adequate,0,True,"Departments are stored in the departments table with department_name, department_code, parent_department_id (self-referential foreign key for hierarchy), service_line (strategic grouping), and location. Departments can have parent departments creating a hierarchical structure (e.g., Cardiology as a child of Internal Medicine). Each department has is_active and is_deleted flags.","The departments structure is defined by the **departments** table, which stores organizational unit information for a healthcare facility, including identifiers, names, hierarchical relationships, service lines, locations, and time-bounded record validity.

In **departments**, the key columns include **department_id** (INTEGER, PRIMARY KEY), **department_name** (VARCHAR(100), NOT NULL), **department_code** (VARCHAR(20), UNIQUE NOT NULL), **parent_department_id** (INTEGER, FK → departments.department_id) to support hierarchy, **service_line** (VARCHAR(100)), and **location** (VARCHAR(100)). It also includes status and lifecycle columns: **is_active** (BOOLEAN, DEFAULT TRUE), **is_deleted** (BOOLEAN, DEFAULT FALSE) for soft deletes, and historization timestamps **valid_from** (TIMESTAMP, DEFAULT CURRENT_TIMESTAMP) and **valid_to** (TIMESTAMP) to end the effective period. Audit timestamps are **created_at** and **updated_at** (both TIMESTAMP, DEFAULT CURRENT_TIMESTAMP).

Departments relate to each other through **parent_department_id**, which is a self-referential foreign key: **departments.parent_department_id → departments.department_id**. This means a department can be organized under another department, creating a hierarchical reporting structure. The **departments.parent_department_id** is explicitly described in the schema as “Parent department for hierarchy,” and the business rules state that the “Hierarchical structure supports organizational reporting.”"
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q006,How are insurance plans and payers represented in the system?,concept_lookup,simple,True,1.0,0.7,26,proceed,adequate,0,True,"The insurance_plans table stores plan_name, payer_name (insurance company), plan_type (commercial, medicare, medicaid, tricare, self_pay), and prior_auth_required flag. Plans have is_active status and use temporal historization. The patients table references insurance_plans via primary_insurance_id foreign key for primary coverage.","Insurance plans are represented by the `insurance_plans` table, which (per the data dictionary context) stores information about insurance plans including identifiers, naming, payer, plan type, validity dates, and status flags indicating activity and deletion, along with audit timestamps. The table also includes validity date fields such as `valid_from` and `valid_to`.

Payers are represented indirectly via the insurance plan records: the concept definition of “Insurance” includes that each insurance plan has specific coverage policies, prior authorization requirements, and cost-sharing structures, and it lists payer types such as private commercial plans, Medicare, Medicaid, and TRICARE. In the schema, linkage to this payer/plan record is done through foreign keys from both patients and claims: `patients.primary_insurance_id` is a FK to `insurance_plans.plan_id` (primary insurance coverage), and `claims.insurance_plan_id` is a NOT NULL FK to `insurance_plans.plan_id` (the insurance plan billed)."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q007,What constitutes an insurance claim and what is its lifecycle?,concept_lookup,simple,True,1.0,0.7,36,proceed,adequate,0,True,"Claims are stored in the claims table with claim_number (unique identifier), patient_id, insurance_plan_id, service_date, submission_date, CPT code (procedure), ICD-10 code (diagnosis), amounts (charged, allowed, paid), and claim_status. Status workflow includes: submitted → pending → approved/denied/partially_paid → appealed. Denied claims include denial_reason.","An insurance claim is a formal request for payment submitted to an insurance payer for services rendered to an insured patient. In the claims data model, it is stored in the `claims` table and includes procedure codes and diagnosis codes: `cpt_code` (CPT/HCPCS) and `icd_10_code` (ICD-10), plus related billing fields like `amount_charged`, `amount_allowed`, and `amount_paid`. The `claims` record also captures the key dates of the claim lifecycle: `service_date` (date of service) and `submission_date` (date the claim was submitted to the payer). It is additionally tracked with a `claim_status` field.

For lifecycle/status, the `claims.claim_status` column is constrained to these states: `submitted`, `pending`, `approved`, `denied`, `partially_paid`, and `appealed`. When claims are denied, the model records `denial_reason`, and the business rules state that denial reasons trigger appeal workflows when clinically appropriate. Also, claims can be logically retired without physical removal using the `is_deleted` soft delete flag (default `FALSE`), while historization is supported by `valid_from`/`valid_to` timestamps (current records have `valid_to = NULL`)."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q008,How are patient appointments scheduled and tracked?,concept_lookup,simple,True,1.0,0.7,45,proceed,adequate,0,True,"The appointments table stores patient_id, provider_id, department_id, appointment_date, appointment_time, appointment_type (new_patient, established, consultation, follow_up, procedure, telehealth), duration_minutes, and appointment_status. Status workflow: scheduled → confirmed → checked_in → in_progress → completed/canceled/no_show. Canceled appointments require cancellation_reason.","Patient appointments are represented by the `APPOINTMENTS` table, which stores scheduling and encounter details for each patient-provider interaction.

Scheduling is captured by `patient_id` (FK to `patients.patient_id`, NOT NULL), `provider_id` (FK to `providers.provider_id`, NOT NULL), and `department_id` (FK to `departments.department_id`). The appointment’s timing is stored in `appointment_date` (DATE, NOT NULL) and `appointment_time` (TIME, NOT NULL). The purpose/classification is stored in `appointment_type` with allowed values: `new_patient`, `established`, `consultation`, `follow_up`, `procedure`, `telehealth`. Expected duration is tracked in `duration_minutes` (INTEGER, DEFAULT 30).

Tracking is handled through `appointment_status` (VARCHAR(20)) with allowed workflow states: `scheduled`, `confirmed`, `checked_in`, `in_progress`, `completed`, `canceled`, `no_show`. The business rules state that the appointment status workflow must follow state transitions and that cancellations require a documented `cancellation_reason` (VARCHAR(255)). No-show tracking is explicitly for patient attendance metrics.

Lifecycle and auditability are supported via soft deletion and historization fields. Appointments have `is_deleted` (BOOLEAN, DEFAULT FALSE) for soft delete, and they include effective-dating columns `valid_from` (TIMESTAMP, DEFAULT CURRENT_TIMESTAMP) and `valid_to` (TIMESTAMP) to maintain time-bounded versions of records for reconstructing historical states. Standard audit timestamps are also present: `created_at` and `updated_at` (both TIMESTAMP, DEFAULT CURRENT_TIMESTAMP).

For efficient querying of active records, the schema includes indexes that filter on `is_deleted = FALSE` for patient, provider, datetime, and status (e.g., `idx_appointments_patient`, `idx_appointments_provider`, `idx_appointments_datetime`, `idx_appointments_status`)."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q009,What information is captured in laboratory test results?,concept_lookup,simple,True,1.0,0.8185918194864789,48,proceed,adequate,0,True,"Lab results are stored in the lab_results table with test_name, LOINC code (Logical Observation Identifiers Names and Codes), test_value, unit of measurement, reference_range, is_abnormal flag, ordering_provider_id, result_date, and notes. The is_abnormal flag is automatically set when results fall outside the reference range. Abnormal results are indexed for quick clinical follow-up.","Laboratory test results are captured in the `lab_results` table (business concept: `LabResult`) to store diagnostic laboratory test outcomes for patient specimens (e.g., blood, urine, tissue). The captured information includes the test identifiers (via `test_name` and `loinc_code`), the measured result (`test_value`) and its `unit`, the `reference_range` used for interpretation, and an `is_abnormal` flag indicating whether the result is outside the reference range (with the business rule that abnormal flags are automatically calculated based on reference ranges). It also captures interpretive/technical `notes`.

Each result is linked to the `patient_id` of the patient and to the `ordering_provider_id` of the provider who ordered the test. Timing is captured in `result_date`, and the record includes validity and audit/history metadata: `is_deleted` (soft delete), `valid_from` and `valid_to` (for historization), plus `created_at` and `updated_at`."
AB-BEST-K20,03_advanced_healthcare,run-20260717_154008,Q010,How are medical treatments and procedures documented?,concept_lookup,simple,True,1.0,0.7,38,proceed,adequate,0,True,"The treatments table stores patient_id, diagnosis_id (for clinical justification), treatment_name, CPT code (for billing), provider_id, department_id, treatment_date, treatment_status (scheduled, completed, canceled, in_progress), and clinical notes. Treatments link to both providers and departments, and must reference a diagnosis for medical necessity documentation.","Medical treatments and procedures are documented in the `treatments` table (described as the “Treatments” concept with the purpose “Store medical treatments and procedures performed on patients”).

Each treatment record is stored with links and clinical/billing details: it includes a required `patient_id` (FK to `patients.patient_id`) to indicate the patient receiving treatment, a `diagnosis_id` (FK to `diagnoses.diagnosis_id`) as the primary diagnosis indication for the treatment (and the business rules state treatments must link to a diagnosis for clinical justification), and required `provider_id` (FK to `providers.provider_id`) for the provider performing the treatment. It also records the `department_id` (FK to `departments.department_id`) for where the treatment occurred.

The table records what was done and when: `treatment_name` (VARCHAR(255), NOT NULL) describes the treatment/procedure, `cpt_code` (VARCHAR(10)) captures the CPT/HCPCS procedure code for billing, and `treatment_date` (DATE, NOT NULL) is the date performed. Clinical documentation/supporting text is captured in `notes` (TEXT).

Operational state is documented via `treatment_status` (CHECK constrained to `scheduled`, `completed`, `canceled`, `in_progress`), and the record supports audit/historization via `valid_from` and `valid_to` (effective dating) plus `created_at` and `updated_at`. Data lifecycle is managed with `is_deleted` (BOOLEAN DEFAULT FALSE) as a soft delete flag, and the business rules state that treatment can be rescheduled using “soft delete + new record.”"
