study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-08,01_basics_ecommerce,,Q001,What information is stored for each customer?,direct_mapping,easy,True,1.0,0.7481670878211543,0,,adequate,0,True,"Each customer has a unique ID, full name, email address, geographic region code, creation date, and active status. The email must be unique across all customers.","For each customer, the schema stores core customer master data in the physical table CUSTOMER_MASTER. The fields are CUSTOMER_MASTER.CUST_ID (INT, NOT NULL) as the customer identifier, CUSTOMER_MASTER.FULL_NAME (VARCHAR, nullable) for the full name, CUSTOMER_MASTER.EMAIL (VARCHAR, nullable) for the email, CUSTOMER_MASTER.REGION_CODE (present as CUSTOMER_MASTER.REGION_CODE) for regional segmentation, CUSTOMER_MASTER.IS_ACTIVE (BOOLEAN, nullable) for account status/active indicator, and CUSTOMER_MASTER.CREATED_AT (DATETIME, nullable) for the account creation timestamp."
AB-08,01_basics_ecommerce,,Q002,How are products categorized on the platform?,direct_mapping,easy,True,1.0,0.7,0,,adequate,0,True,"Products belong to categories which can have a parent category, forming a hierarchical tree structure. Each product references exactly one category through its CATEGORY_ID.","Products are categorized by the category reference stored on each product record.

In the business glossary, each product “belongs to exactly one Category” and “must belong to a valid category before being sold.” In the physical schema, `TB_PRODUCT` has `CATEGORY_ID (INT, NOT NULL)` described as the “Category reference,” and there is a foreign key `CATEGORY_ID → TB_CATEGORY(CATEGORY_ID)`. `TB_CATEGORY` is a hierarchical category tree identified by `CATEGORY_ID`, with an optional self-reference `PARENT_CATEGORY_ID → TB_CATEGORY(CATEGORY_ID)`."
AB-08,01_basics_ecommerce,,Q003,What is the relationship between customers and sales orders?,direct_mapping,easy,True,1.0,0.9847097286358175,0,,adequate,0,True,"Each sales order is placed by exactly one customer, referenced through the CUST_ID foreign key. A customer can place zero or more orders over time.","A Customer places zero or more Sales Orders, and a Sales Order is placed by exactly one Customer. In the schema-level relationship, this is implemented by the foreign key: SALES_ORDER_HDR references CUSTOMER_MASTER via SALES_ORDER_HDR.CUST_ID → CUSTOMER_MASTER.CUST_ID."
AB-08,01_basics_ecommerce,,Q004,What does an order line item contain?,direct_mapping,easy,True,1.0,0.9885247627563056,0,,adequate,0,True,"An order line item specifies a product, the quantity ordered, the unit price at time of purchase, and the calculated extended amount. Each line item belongs to exactly one sales order.","An order line item contains the product being ordered, the quantity ordered, and the unit price at the time of purchase (historical, not current). It also has a unique line identifier and stores the extended line amount equal to quantity × unit price. In the schema (`ORDER_LINE_ITEM`), this corresponds to `LINE_ID`, `ORDER_ID`, `PRODUCT_ID`, `QUANTITY`, `UNIT_PRICE`, and `LINE_AMT` (line amount)."
AB-08,01_basics_ecommerce,,Q005,How are payments linked to orders?,direct_mapping,easy,True,1.0,0.9500523381575244,0,,adequate,0,True,"Each payment is associated with exactly one sales order through the ORDER_ID foreign key. Payments track the payment method, amount, status, and confirmation timestamp.","Payments are linked to orders through a direct foreign-key relationship between `PAYMENT` and `SALES_ORDER_HDR`.

At the business level, a `Payment` “references exactly one Sales Order,” and “an order may have multiple Payments.” At the schema level, the relationship is defined as `PAYMENT` referencing `SALES_ORDER_HDR` via the foreign key `PAYMENT.ORDER_ID -> SALES_ORDER_HDR.ORDER_ID`."
AB-08,01_basics_ecommerce,,Q006,What statuses can an order have?,attribute_lookup,easy,True,1.0,0.7,0,,adequate,0,True,"Orders can have one of five statuses defined via CHECK constraint on SALES_ORDER_HDR.STATUS_CODE: PENDING (initial state when order is created), CONFIRMED (payment has been received), SHIPPED (dispatched to customer), DELIVERED (received by customer), or CANCELLED. The business glossary describes the same lifecycle under Sales Order.","An order (business concept **SALES ORDER**, with status attribute **Status: PENDING, CONFIRMED, SHIPPED, DELIVERED, CANCELLED**) can have these statuses: **PENDING, CONFIRMED, SHIPPED, DELIVERED, CANCELLED**."
AB-08,01_basics_ecommerce,,Q007,Which table stores the product SKU information?,direct_mapping,easy,True,1.0,0.9891579815324443,0,,adequate,0,True,"The TB_PRODUCT table stores the SKU (Stock Keeping Unit) code for each product, along with product name, category, price, and active status.","The product SKU information is stored in the **TB_PRODUCT** table, in the **TB_PRODUCT.SKU** column."
AB-08,01_basics_ecommerce,,Q008,How can I find all orders placed by a specific customer?,multi_hop,medium,True,1.0,0.7,0,,adequate,0,True,"Query the SALES_ORDER_HDR table filtering by CUST_ID. Each order has a foreign key reference to CUSTOMER_MASTER.CUST_ID, so joining these tables on CUST_ID will show all orders for a customer along with their details.","To find all orders placed by a specific customer, query the sales order header table `SALES_ORDER_HDR` using its customer key `CUST_ID`.

In the schema, `SALES_ORDER_HDR.CUST_ID` (NOT NULL) is “Customer who placed order” and is a foreign key to `CUSTOMER_MASTER(CUST_ID)`. Therefore, select all rows from `SALES_ORDER_HDR` where `SALES_ORDER_HDR.CUST_ID = <that customer’s CUST_ID>`.  

If you also want to include/verify customer attributes, join `SALES_ORDER_HDR` to `CUSTOMER_MASTER` on `SALES_ORDER_HDR.CUST_ID = CUSTOMER_MASTER.CUST_ID` (where `CUSTOMER_MASTER` includes `FULL_NAME` and `EMAIL`)."
AB-08,01_basics_ecommerce,,Q009,How does the schema link orders to their individual product line items?,multi_hop,medium,True,1.0,0.7,0,,adequate,0,True,"The ORDER_LINE_ITEM table is the junction entity between SALES_ORDER_HDR and TB_PRODUCT. It contains ORDER_ID (foreign key to SALES_ORDER_HDR) and PRODUCT_ID (foreign key to TB_PRODUCT), allowing a single order to have multiple line items. Each line item also records QUANTITY (constrained to be > 0), UNIT_PRICE, and LINE_AMT.","The schema links orders to their individual product line items using the `ORDER_LINE_ITEM` table and its `ORDER_ID` attribute, which identifies the “Parent order.” In the relationship summary, a Sales Order “has one or more Order Line Items,” and an “Order Line Item is part of exactly one Sales Order,” meaning the line items are the `ORDER_LINE_ITEM` rows associated to a given order via `ORDER_LINE_ITEM.ORDER_ID` (the link back to the order).

Each line item also links to the product via `ORDER_LINE_ITEM.PRODUCT_ID`, which has a foreign key relationship `PRODUCT_ID -> TB_PRODUCT.PRODUCT_ID`."
AB-08,01_basics_ecommerce,,Q010,Show me the order hierarchy from customer to line items.,multi_hop,medium,True,0.75,0.7,0,,adequate,0,True,"The hierarchy is: Customer (CUSTOMER_MASTER) → SalesOrder (SALES_ORDER_HDR) → OrderLineItem (ORDER_LINE_ITEM) → Product (TB_PRODUCT). Each customer has orders, each order has line items, and each line item references a product.","Customer → Sales Order (Sales Order is placed by exactly one Customer) → Order Line Items (A Sales Order has one or more Order Line Items, and each Order Line Item is part of exactly one Sales Order).

In the schema mappings/foreign keys shown, this is implemented by CUSTOMER_MASTER.CUST_ID referenced by SALES_ORDER_HDR.CUST_ID, and then SALES_ORDER_HDR.ORDER_ID referenced by ORDER_LINE_ITEM.ORDER_ID."
