study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,05_edgecases_incomplete,,ec_001,What is a customer?,missing_definition,unknown,True,1.0,0.9836598719063984,0,,adequate,0,True,"The business glossary defines Customer as ""an individual or organization that... [definition incomplete]"". Related terms include Client (a person or company that purchases goods or services, sometimes used interchangeably with Customer), Account Holder (the primary owner of an account), and End User (the actual user, who may differ from the purchaser).",A customer is defined in the business glossary as “an individual or organization that purchases goods or services.” The context also notes that the term “Client” may be used interchangeably with “Customer” in some contexts.
AB-BEST-K20,05_edgecases_incomplete,,ec_002,What's the difference between firstName and first_name in the CUSTOMERS table?,duplicate_columns,unknown,True,1.0,0.8862236206549613,0,,adequate,0,True,"Both columns exist in the CUSTOMERS table with identical VARCHAR(50) data types. The data dictionary notes they appear to be duplicates resulting from inconsistent naming conventions (snake_case vs camelCase), but the actual usage by the application is not documented.","In the `CUSTOMERS` table, `firstName` and `first_name` both store a customer’s first name. The documentation indicates a naming convention inconsistency and suggests these may be duplicate/legacy columns: `firstName` is described as “Customer's first name,” while `first_name` is marked as a possible duplicate (“[appears to be duplicate]”). Beyond that, the context does not specify any semantic or processing difference between them (e.g., which one is authoritative)."
AB-BEST-K20,05_edgecases_incomplete,,ec_003,Which customer column should be used as a foreign key reference: customer_id or CustomerID?,conflicting_references,unknown,True,1.0,0.9254997409810218,0,,adequate,0,True,"The CUSTOMERS table has both customer_id (defined as PRIMARY KEY) and CustomerID (defined as INTEGER with no constraints). The ORDERS table also has both customer_id and CustomerID columns with ambiguous FK references. The data dictionary indicates this inconsistency is documented but not yet resolved, pending verification with the DBA team.","The retrieved context indicates a naming inconsistency for the customer primary key in `CUSTOMERS`: it lists `customer_id` as the primary key (“Primary Key: customer_id (or is it CustomerID? check with DBA)”) and also shows `CustomerID` as “Possible duplicate of customer_id.” In the `ORDERS` table, `customer_id` is defined as an FK referencing `CUSTOMERS(customer_id or CustomerID?)`, and `CustomerID` is also listed as an FK reference with “[FK reference unclear].”

Because the context explicitly says “check with DBA” and marks the FK reference as unclear, it does not provide enough verified information to determine definitively whether the foreign key should reference `customer_id` or `CustomerID`."
AB-BEST-K20,05_edgecases_incomplete,,ec_004,What are the valid values for order_status?,missing_constraint,unknown,True,1.0,0.7,0,,adequate,0,True,"The business glossary documents several order statuses: Pending, Processing, Completed, Cancelled, On Hold, and Failed (which is marked as [definition missing]). However, these are not enforced by a CHECK constraint in the schema, and the data dictionary notes that valid values reference '[missing documentation]'.","I cannot find this information in the knowledge graph.

In the `ORDERS` table, `order_status` is described only as `VARCHAR(25)` with the note: “See valid values in... [missing reference]”. The retrieved context does not include the referenced list of valid `order_status` values (and it also does not provide any documented enum/check constraints or a workflow/status code mapping)."
AB-BEST-K20,05_edgecases_incomplete,,ec_005,"Is there a difference between Product, Item, and SKU?",ambiguous_synonyms,unknown,True,1.0,0.7,0,,adequate,0,True,"The glossary indicates these terms are related but distinct: Product is defined as ""A thing that is... [definition needs clarification]""; Item is a synonym for Product used in inventory context; SKU (Stock Keeping Unit) is a unique identifier for a product variant; Inventory Item refers to physical products in stock; and Merchandise is described as goods available for sale, similar to Product. The exact distinctions are not clearly defined.","In the context, the definitions distinguish these terms as follows:

A Product is “a thing that is…” but the definition is incomplete and needs clarification. An Item is described as a synonym for Product and is “used in inventory context.” A SKU is explicitly defined as “Stock Keeping Unit” and “a unique identifier for a product variant.”

The context also notes that Inventory Item is a term for “physical products held in stock,” and Merchandise is “goods available for sale,” which are described as similar to Product. However, the specific question asks about Product vs Item vs SKU, and the only fully explicit distinction provided there is that Item is used as an inventory synonym for Product, while SKU is the unique identifier for a product variant."
AB-BEST-K20,05_edgecases_incomplete,,ec_006,Which table should ORDER_ITEMS.product_id reference: PRODUCTS or INVENTORY?,ambiguous_reference,unknown,True,1.0,0.9608783531246672,0,,adequate,0,True,The data dictionary states the FK reference is to 'PRODUCTS (or INVENTORY?)' and notes it is 'not verified'. The schema provides two potential targets: PRODUCTS table (which has product_id) and an INVENTORY table that is referenced in documentation but not defined in the DDL. The actual relationship cannot be determined from the available documentation.,"From the retrieved context, the only concrete foreign-key direction stated for the line-item table is in the schema documentation snippet for `ORDER_ITEMS`/`ORDER_DETAILS`: it shows `order_items.product_id` with “FK” and says it “References PRODUCTS (or INVENTORY?)”, but also notes that this is not verified due to “Table name ambiguity” and “FK to PRODUCTS or INVENTORY table not verified.”

So, the context does not conclusively answer whether `ORDER_ITEMS.product_id` should reference `PRODUCTS` or `INVENTORY`. What it does provide is that `ORDER_ITEMS` stores “the product, quantity, pricing, discounts, and calculated line totals for each order item,” and the `PRODUCTS` table is the product catalog table containing product identifiers, names, SKUs, categories, pricing, and stock-related fields—both of which support `product_id` referencing `PRODUCTS`—but the schema-level FK target is explicitly marked as unverified (“PRODUCTS (or INVENTORY?)”)."
AB-BEST-K20,05_edgecases_incomplete,,ec_007,What's the difference between Revenue and Sales?,circular_definition,unknown,True,1.0,0.7,0,,adequate,0,True,"Both terms show circular definitions: Revenue is defined as 'Income from sales. The same as... [definition circular, see Sales]', while Sales is defined as 'Revenue from selling products. See Revenue.' The glossary provides no clear distinction between these concepts.","In the provided context, the definitions for Revenue and Sales are incomplete.

“Revenue” is defined as “Income from sales.” It also says “The same as... [definition circular, see Sales] Sales Revenue from selling products. See Revenue.” So Revenue and Sales are described as the same concept via a circular reference, rather than as two distinct definitions.

What remains unavailable from the context is any clear, non-circular distinction between Revenue and Sales (for example, whether one is a total before/after adjustments, timing differences, or whether Sales refers specifically to a revenue component)."
AB-BEST-K20,05_edgecases_incomplete,,ec_008,Can one order have multiple payments?,conflicting_cardinality,unknown,True,1.0,0.7,0,,adequate,0,True,"The PAYMENTS table has an order_id column, suggesting a many-to-one relationship (multiple payments can reference a single order). However, the relationship section in the glossary asks 'Or is it one-to-one?' indicating uncertainty. The ORDERS table has both payment_status and payment_method columns (singular), which might suggest a single payment per order, but this conflicts with the PAYMENTS table structure.","The knowledge graph does not provide an explicit database constraint that allows or forbids multiple payments per order. What it does say is an “unclear relationship” note: “Order to Payment: An order may have multiple payment attempts. Or is it one-to-one?” From the schema metadata, `PAYMENTS` includes `order_id` as a foreign key referencing `ORDERS`, but there are no documented uniqueness or cardinality rules in the retrieved context that would definitively restrict an order to a single payment. Therefore, based on the available context alone, the question cannot be answered definitively at the constraint level."
AB-BEST-K20,05_edgecases_incomplete,,ec_009,What payment methods are accepted?,missing_enum_values,unknown,True,1.0,0.7,0,,adequate,0,True,"The PAYMENTS table has a payment_method column (VARCHAR(30)), but the data dictionary notes '[missing valid values]' and no CHECK constraint exists to enumerate acceptable methods. The schema does not document what values are valid (e.g., credit_card, debit, paypal, etc.).","The retrieved context does not document the valid payment method values. It states that `payment_method` is stored in the `payments` table as `VARCHAR(30)` and notes that “payment_method valid values not documented (credit_card, debit, paypal?)”, but those specific values are only mentioned as examples with no enumerated allowed list in the schema metadata provided."
AB-BEST-K20,05_edgecases_incomplete,,ec_010,What's the correct table name: ORDER_ITEMS or ORDER_DETAILS?,naming_ambiguity,unknown,True,1.0,0.9626731126558706,0,,adequate,0,True,"The DDL creates a table named ORDER_ITEMS, but the data dictionary header shows 'ORDER_ITEMS (or ORDER_DETAILS?)' and notes 'Table name ambiguity: ORDER_ITEMS vs ORDER_DETAILS'. The actual table name in the schema is ORDER_ITEMS, but documentation suggests the application may reference it differently.","The retrieved context shows ambiguity about the correct table name: it repeatedly refers to “ORDER_ITEMS (or ORDER_DETAILS?)” and then provides two separate chunks that both concern the “order_items” structure. Specifically, the schema chunk labels the section “ORDER_ITEMS (or ORDER_DETAILS?)” and then lists a table with columns such as `order_item_id`, `order_id`, `product_id`, `quantity`, `unit_price`, `discount_percent`, `discount_amount`, and `line_total`—but it does not definitively confirm whether the actual physical table is named `ORDER_ITEMS` or `ORDER_DETAILS`.

A later business concept chunk explicitly states: “Column in table order_items” and describes that table’s purpose (“Stores details of items within orders…”). That supports that the table is called `order_items` in the documentation/concept layer, but it still does not conclusively resolve the schema-level question because the earlier chunk keeps the alternative name “ORDER_DETAILS” and marks the primary key and FK documentation as missing/undocumented.

So, from this context alone, the most complete answer is: the context cannot definitively confirm whether the correct table name is `ORDER_ITEMS` or `ORDER_DETAILS`; however, the business concept documentation uses the name `order_items` and describes it as the line-item table for orders."
