study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,07_stress_large_scale,,QA-001,What information does the customer table store and what constraints does it have?,direct_mapping,Easy,True,1.0,0.8184467555636957,0,,adequate,0,True,"The customer table stores customer_id (PK), customer_number (UNIQUE), customer_name, customer_type_id (FK to customer_type), tax_id, registration_date, status (ACTIVE/INACTIVE/SUSPENDED via CHECK), credit_limit (default 0), currency (default USD), payment_terms (default 30 days), credit_score (CHECK 0-100), annual_revenue, industry_code, and website. Timestamps created_at and updated_at track record changes.","The **customer table** (**`CUSTOMER`**) stores customer master data for the company, including identifiers, contact and tax information, account status, credit terms/scores, financial metrics, and record creation/update metadata.

The specific fields shown in the retrieved context are:
- **`CUSTOMER_ID` (INT, NOT NULL)** — Customer ID.
- **`CREDIT_LIMIT` (DECIMAL, nullable)** — Credit limit.
- **`PAYMENT_TERMS` (INT, nullable)** — Payment terms.
- **`TAX_ID`** (not detailed in type/nullability in the retrieved context, but listed as a customer attribute).
- **`CREDIT_SCORE`** (not detailed in type/nullability in the retrieved context, but listed as a customer attribute).
- **`WEBSITE` (VARCHAR, nullable)** — Website.
- **`CURRENCY` (VARCHAR, nullable)** — Currency.
- **`CREATED_AT`** — record creation metadata.
- **`UPDATED_AT`** — record update metadata.

Constraints visible in the retrieved context:
- **`CUSTOMER.CUSTOMER_ID` is NOT NULL**.
- **`CREDIT_LIMIT`, `WEBSITE`, `CURRENCY`, and `PAYMENT_TERMS` are nullable**."
AB-BEST,07_stress_large_scale,,QA-002,How does the schema classify different types of products?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"Products are classified by product_type via CHECK constraint: FINISHED_GOOD, RAW_MATERIAL, SERVICE, or CONSUMABLE. They also belong to a hierarchical product_category (via category_id FK) where product_category has a self-referencing parent_category_id for nested categories. Products also track status (ACTIVE/DISCONTINUED/PHASE_OUT), shelf_life_days, storage temperature range (min/max), and a hazardous boolean flag.","The schema classifies different types of products using the `PRODUCT` table’s `PRODUCT_TYPE` column (`VARCHAR`, `NOT NULL`).

In the business glossary, `Product` records represent tangible items or services sold to customers, and products can be “finished goods, raw materials, or services,” with different pricing and inventory tracking requirements. This product classification is stored as `product_type` in the `Product` attributes list."
AB-BEST,07_stress_large_scale,,QA-003,What is the structure of the sales order and how does it link to customers and products?,multi_hop,Medium,True,0.6667,0.7,0,,adequate,0,True,"The sales_order table links to customer via customer_id FK and to warehouse via warehouse_id. It tracks order_number (UNIQUE), order_date, required_date, promised_date, subtotal/tax_amount/freight_amount/total_amount, and status (DRAFT/CONFIRMED/PICKED/SHIPPED/INVOICED/CANCELLED via CHECK). Priority can be LOW/NORMAL/HIGH/URGENT. Sales order lines (sales_order_line) link each order to products via product_id FK, tracking quantities (ordered/shipped/invoiced), unit_price, discount_percentage, and line-level status.","The sales order structure is represented by the **SALES_ORDER** table (“Stores the core data for customer sales orders”). Conceptually, a sales order contains identifiers and dates, involved parties (including a customer and a sales rep), logistical details (such as warehouse), financial amounts (including subtotal, tax, freight, and total), and a status.

In the available schema metadata, key attributes/columns in **SALES_ORDER** include **SALES_ORDER.ORDER_ID (INT, NOT NULL)** as the order identifier, **SALES_ORDER.ORDER_NUMBER (VARCHAR, NOT NULL)** as the order number, **SALES_ORDER.CUSTOMER_ID (INT, nullable)** as the customer reference (“Customer ID”), **SALES_ORDER.STATUS** for the sales order status, and logistical/operational fields like **SALES_ORDER.WAREHOUSE_ID** (warehouse). Financial amounts are represented at least by **SALES_ORDER.TOTAL_AMOUNT**, and additional fields include **SALES_ORDER.PRIORITY**, **SALES_ORDER.REQUIRED_DATE**, and **SALES_ORDER.CUSTOMER_PO_NUMBER**.

Link to customers: **SALES_ORDER.CUSTOMER_ID** is the column that associates the sales order to the customer (the glossary also defines a Sales Order attribute **customer_id** and lists **Customer** as a related concept).

Link to products: the context indicates products are connected to sales orders through the **Order Line** concept (Sales Order lists **Order Line** as a related concept; Product also lists **Order Line** as a related concept). However, the retrieved context does not include the **Order Line** table’s structure/columns or the specific join keys needed to describe the exact schema-level link from **SALES_ORDER** to **Product**."
AB-BEST,07_stress_large_scale,,QA-004,How does the schema represent supplier information and their classification?,direct_mapping,Easy,True,1.0,0.7,0,,adequate,0,True,"The supplier table stores supplier_id (PK), supplier_number (UNIQUE), supplier_name, supplier_type (MANUFACTURER/DISTRIBUTOR/SERVICE_PROVIDER via CHECK), tax_id, registration_date, and status (ACTIVE/INACTIVE/ON_HOLD/BLACKLISTED). Performance metrics are tracked: credit_rating (A/B/C/D), lead_time_days, quality_rating (0-5), and on_time_delivery_rate (0-100%). Suppliers have associated supplier_address (with types MAIN/BILLING/SHIPPING/RETURN) and supplier_contact tables.","The schema represents supplier information using the physical table `SUPPLIER` (business concept “Supplier”) and captures supplier classification through the `SUPPLIER.SUPPLIER_TYPE` column.

In `SUPPLIER`, each supplier record is identified by `SUPPLIER.SUPPLIER_ID` and includes identifying/classification and management attributes such as `SUPPLIER.SUPPLIER_NAME` (Supplier Name, NOT NULL), `SUPPLIER.SUPPLIER_NUMBER` (NOT NULL), and the classification field `SUPPLIER.SUPPLIER_TYPE` (Supplier Type, NOT NULL). It also stores procurement-related terms and performance/evaluation details, including `SUPPLIER.PAYMENT_TERMS`, `SUPPLIER.CREDIT_RATING`, `SUPPLIER.CURRENCY`, and `SUPPLIER.LEAD_TIME_DAYS`, plus supplier condition via `SUPPLIER.STATUS` (Status, NOT NULL). The supplier evaluation attributes are represented with `SUPPLIER.QUALITY_RATING` as part of the supplier information the system maintains.

This supplier record is then used by procurement documents like `Purchase Order` (via `po_id` and `supplier_id`) and `Supplier Contract` (via `supplier_id`), connecting the supplier’s classification/status and commercial terms to downstream procurement workflows."
AB-BEST,07_stress_large_scale,,QA-005,What types of warehouses does the system support and how is storage organized?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"The warehouse table defines four types via CHECK: COMPANY_OWNED, 3PL (third-party logistics), VIRTUAL, and TRANSIT. Each warehouse has capacity_cubic_meters and status (ACTIVE/INACTIVE/UNDER_MAINTENANCE). Storage is organized hierarchically: warehouse → warehouse_zone (types: BULK/PICK/STAGING/RECEIVING/SHIPPING, with temperature_controlled flag) → bin_location (types: BULK/PICK/FLOW_RACK/CANTILEVER, with capacity_quantity, capacity_weight, and status ACTIVE/FULL/LOCKED/QUARANTINE). Bin codes are unique within each warehouse.","The system supports multiple types of warehouses: company-owned facilities, third-party logistics (3PL) facilities, and virtual locations for transit inventory. In the schema, this is represented by the `warehouse_type` attribute on the `Warehouse` concept/table, along with operational attributes like `warehouse_id`, `warehouse_name`, capacity, `manager_id`, and `status` (and also location details such as address and `state`).

Storage within a warehouse is organized using **bin locations**. A **Bin Location** is “a specific storage location within a warehouse,” and those bin locations are organized into a hierarchy for picking and put-away: **zones**, **aisles**, **shelves**, and **positions**. In the metadata, this structure is captured via `Bin Location` attributes including `bin_id`, `warehouse_id`, `zone_id`, `aisle`, `shelf`, and `position`, along with capacity and quantity tracking (`capacity_quantity`, `current_quantity`) and the stored `product_id`."
AB-BEST,07_stress_large_scale,,QA-006,How does the inventory tracking system work across the schema?,multi_hop,Medium,True,0.3333,0.7,0,,adequate,0,True,"Inventory is tracked at two levels. The inventory_on_hand table records current stock per product/warehouse/bin/lot combination (UNIQUE constraint), with quantity_on_hand, quantity_allocated, and a computed quantity_available column (on_hand minus allocated). The inventory_transaction table logs all movements with types: RECEIPT, ISSUE, TRANSFER, ADJUSTMENT, CYCLE_COUNT, SCRAP, and RETURN. Each transaction references a product, warehouse, bin, and optionally a source document (reference_type + reference_id) for traceability.","Inventory tracking is modeled through **`INVENTORY_TRANSACTION`** as the central, schema-level record of inventory changes, plus a separate **Stock Transfer** concept for inter-warehouse movement.

`INVENTORY_TRANSACTION` records “any movement or change in inventory quantity.” Transactions include **receipts, issues, transfers, adjustments, and cycle counts**. Each inventory transaction is tied to a **product** and a **location** and also carries a **reference context** plus operational and costing details. The core attributes are `transaction_id`, `product_id`, `warehouse_id`, `transaction_type`, `quantity`, `transaction_date`, `reference_type`, `reference_id`, and `unit_cost`.

At the column level, `INVENTORY_TRANSACTION.PRODUCT_ID` identifies the product associated with the movement, and `INVENTORY_TRANSACTION.WAREHOUSE_ID` identifies the warehouse where the movement occurs. The schema also supports more granular location/context via optional fields such as `INVENTORY_TRANSACTION.BIN_ID` (bin location) and `INVENTORY_TRANSACTION.REFERENCE_ID` / `INVENTORY_TRANSACTION.REFERENCE_TYPE` (to link the transaction to a reference context that describes what the inventory movement is “about”). The context explicitly states that `INVENTORY_TRANSACTION` “stores records of inventory movements, linking each transaction to a product, location, and reference context, including quantities, costs, and metadata.”

For movements between locations, the system also defines a **Stock Transfer** business concept: a stock transfer has `transfer_id`, `from_warehouse_id`, `to_warehouse_id`, `transfer_date`, `status`, `shipment_method`, and `tracking_number`. In the overall schema design, stock transfers represent inventory being moved across warehouses, while `INVENTORY_TRANSACTION` represents the resulting inventory quantity changes; the `INVENTORY_TRANSACTION` fields `reference_type` and `reference_id` are what support associating those inventory movements back to the relevant reference context (such as a stock transfer).

This is the complete inventory-tracking mechanism described in the provided schema context: all changes are recorded in `INVENTORY_TRANSACTION`, optionally enriched with bin and reference context, and inter-warehouse movement is represented via the Stock Transfer concept."
AB-BEST,07_stress_large_scale,,QA-007,What is the Bill of Materials structure and how does it support multi-level product hierarchies?,direct_mapping,Medium,True,1.0,0.7,0,,adequate,0,True,"The bill_of_materials table implements a many-to-many self-referencing relationship on the product table: parent_product_id (FK to product) contains component_product_id (FK to product) with a specified quantity and unit_of_measure. Components are classified as COMPONENT, PHANTOM, BYPRODUCT, or CO_PRODUCT via CHECK. Each BOM entry has effective_start_date and optional effective_end_date for date-effectivity, with a UNIQUE constraint on (parent_product_id, component_product_id, effective_start_date). Multi-level hierarchies are traversed recursively through the product table.","The Bill of Materials (BOM) is stored in the **`BILL_OF_MATERIALS`** table as a set of relationships that “convert parent products into component products.” Structurally, each BOM row defines a directed link from a **parent product** to a **component product** using **`PARENT_PRODUCT_ID`** (Parent Product ID) and **`COMPONENT_PRODUCT_ID`** (Component Product ID). The row also carries the material requirements needed for that conversion: **`QUANTITY`** (Quantity) together with **`UNIT_OF_MEASURE`** (Unit of Measure), plus **`SCRAP_PERCENTAGE`** (scrap rate). It further supports time-bounded validity with **`EFFECTIVE_START_DATE`** and **`EFFECTIVE_END_DATE`, and includes a component classification via **`COMPONENT_TYPE`**. The relationship group is identified by **`BOM_ID`** (BOM ID).

This structure supports multi-level product hierarchies because the table models BOMs as parent→component relationships using product identifiers within the same table. As a result, any product that appears as a **component** in one BOM row can also participate as a **parent** in other BOM rows, enabling BOM definitions to be chained across multiple levels (e.g., parent product → component → sub-component) based on the same **`BILL_OF_MATERIALS`** relationship pattern."
AB-BEST,07_stress_large_scale,,QA-008,How are work orders structured and what do they track?,multi_hop,Medium,True,0.5,0.7,0,,adequate,0,True,"The work_order table references product_id (what to produce), production_line_id (where), and warehouse_id (inventory location). It tracks quantity_ordered, quantity_completed, quantity_scrapped, planned dates (start_date, required_date), actual dates (actual_start_date, actual_finish_date), status (DRAFT/RELEASED/IN_PROGRESS/COMPLETED/CANCELLED), and priority (LOW/NORMAL/HIGH/URGENT). Materials are tracked via work_order_material which links to products and bins with quantity_required vs quantity_issued. Production is scheduled via production_schedule linking work_orders to production_lines with planned vs actual timestamps.","Work orders are structured as production authorization documents that capture, for a specific product, what quantity should be produced and when the work should occur. The work order concept describes them as “a document authorizing the production of a specified quantity of product,” and says they “track labor, materials, and overhead costs for job costing.”

Structurally, the work order includes identifiers and the production context: it has a `work_order_id`, a `product_id` (the product to be produced), and it is associated with a `production_line_id` (the manufacturing line/resource used). It also records production quantities, including `quantity_ordered` and `quantity_completed` (with additional “quantities at various stages” mentioned in the work order column description). Key timing fields include `start_date` and required/actual dates such as `required_date`, `actual_start_date`, and `actual_finish_date`. Work order lifecycle attributes include `status` (NOT NULL) and `priority`. Finally, audit/creation metadata is captured via fields such as `created_by` and `created_at`.

A related “Work Order Material” concept further reflects how quantities and scheduling/status are tracked at the work order level, using attributes including `work_order_id`, `product_id`, `quantity_ordered`, `quantity_completed`, `start_date`, `required_date`, `status`, `production_line_id`, and `priority`."
AB-BEST,07_stress_large_scale,,QA-009,How does the quality management system work in the schema?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"Quality is managed through three related tables. quality_inspection records inspections with types INCOMING/IN_PROCESS/FINAL/AUDIT, results PENDING/PASS/FAIL/CONDITIONAL_PASS, and links to quality_standard (types INTERNAL/ISO/ASTM/FDA/CE). Inspections track defects_found, sample_size, and batch_size. When inspections fail, non_conformance_report records are created with types PRODUCT/PROCESS/DOCUMENTATION/SUPPLIER, severity MINOR/MAJOR/CRITICAL, and status OPEN/IN_PROGRESS/CLOSED/VERIFIED. NCRs track root_cause, corrective_action, and preventive_action for CAPA compliance.","In the schema, the quality management system is modeled around three core concepts: Quality Standard, Quality Inspection, and Non-Conformance Report (NCR).

Quality Standards define the acceptance criteria that inspections should verify. A Quality Standard is identified by `standard_id` and includes a `standard_code`, `standard_name`, `standard_type`, `version`, `issue_date`, and a `status`. These standards are conceptually linked to Quality Inspection (used as the basis for inspection/acceptance) and also relate to Test Procedure and Product Specification.

Quality Inspections record the actual examination activity. Each inspection has an `inspection_id`, an `inspection_type` (incoming from suppliers, in-process during production, or final before shipping), and it is associated to what was inspected via `reference_type` and `reference_id` plus a `product_id`. The inspection is dated with `inspection_date` and captures who performed it with `inspector_id`. Outcomes are recorded in `result`, along with `defects_found` and an overall `status`. The schema also indicates the inspection can be connected to operational sources like Product, Supplier, Purchase Receipt, and Work Order (through the inspection’s reference fields and `product_id`).

When an inspection indicates a quality deviation, the schema records it as a Non-Conformance Report (NCR). Each NCR has an `ncr_id` and `ncr_type`, and like inspections it is tied to a business context using `reference_type` and `reference_id` plus `product_id`. NCRs include `issue_date`, `reported_by`, `severity`, `root_cause`, `status`, and a `resolution_date`. NCRs are defined as triggering root cause analysis and corrective/preventive actions (CAPA), and the schema links NCRs to Quality Inspection, Product, and Supplier (again via reference and `product_id`) as the context for the non-conformance."
AB-BEST,07_stress_large_scale,,QA-010,What is the complete invoice lifecycle and how are invoices linked to orders and payments?,multi_hop,Medium,True,1.0,0.7,0,,adequate,0,True,"The invoice table supports four types via CHECK: SALES, PURCHASE, CREDIT_MEMO, and DEBIT_MEMO. Invoices link to customer_id and optionally order_id (FK to sales_order). They track subtotal/tax_amount/total_amount/amount_paid/balance_due and status (DRAFT/POSTED/PAID/OVERDUE/VOID). Each invoice has invoice_line items linking to products and optionally back to order_line_id. Payments reference invoices via invoice_id FK, with payment_type (RECEIPT/PAYMENT/REFUND), payment_method (CASH/CREDIT_CARD/WIRE/CHECK/ACH), and status (PENDING/COMPLETED/FAILED/REVERSED).","The retrieved context defines invoices as “customer invoices” used for billing and payment tracking, with lifecycle being represented by an explicit `INVOICE.STATUS` field (VARCHAR, NOT NULL). However, the context does not list the possible lifecycle states/values (e.g., “draft/issued/paid”), so a complete lifecycle diagram cannot be fully determined from what’s provided.

What the context does provide about invoice lifecycle tracking is that each invoice record carries both scheduling/due information and payment progress indicators. In `INVOICE`, the invoice is tied to billing timing via `INVOICE.DUE_DATE` (DATE, NOT NULL), and payment progression via `INVOICE.BALANCE_DUE` and `INVOICE.AMOUNT_PAID`. The invoice also stores monetary totals (`subtotal`, `tax`, `total`) and includes “payments” information as part of what it tracks, alongside the billing/payment `INVOICE.STATUS`.

How invoices are linked to orders and payments (using only the provided context) is as follows. An invoice is linked to a sales order through `INVOICE.ORDER_ID`, described as “Order ID” and as a reference to the related order. The sales order concept exists in the glossary as having an `order_id` and being issued to a customer, and invoices store “related customer and order references,” which is consistent with using `INVOICE.ORDER_ID` to connect an invoice back to the corresponding sales order.

Invoices are linked to payments through the payments business concept: the “Payment” records “stores records of payments processed for invoices” and are “linked to customers and invoices.” The schema-level key columns that would be used to perform a database JOIN between a specific invoice row and its payment rows are not included in the retrieved context, so the exact join columns between `INVOICE` and the payment table cannot be specified here."
