study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,05_edgecases_incomplete,,ec_001,What is a customer?,missing_definition,unknown,True,1.0,0.9836598719063984,0,,adequate,0,True,"The business glossary defines Customer as ""an individual or organization that... [definition incomplete]"". Related terms include Client (a person or company that purchases goods or services, sometimes used interchangeably with Customer), Account Holder (the primary owner of an account), and End User (the actual user, who may differ from the purchaser).","A customer is an individual or organization that purchases goods or services. The knowledge graph also notes that “Client” may be used interchangeably with “Customer” in some contexts. In the customer management glossary, it distinguishes “Account Holder” (the person designated as the primary owner of an account) and “End User” (the actual user of a product or service, which may differ from the purchaser)."
AB-BEST,05_edgecases_incomplete,,ec_002,What's the difference between firstName and first_name in the CUSTOMERS table?,duplicate_columns,unknown,True,1.0,0.9007046022173545,0,,adequate,0,True,"Both columns exist in the CUSTOMERS table with identical VARCHAR(50) data types. The data dictionary notes they appear to be duplicates resulting from inconsistent naming conventions (snake_case vs camelCase), but the actual usage by the application is not documented.","In the `CUSTOMERS` table, both `firstName` and `first_name` are columns that hold the customer’s first name, and the documentation indicates a naming-convention inconsistency and that some columns may be legacy duplicates. Specifically, `firstName` is described as “Customer's first name” and `first_name` is also present and marked as a possible duplicate, so the context does not define a functional difference—only that they appear to represent the same attribute."
AB-BEST,05_edgecases_incomplete,,ec_003,Which customer column should be used as a foreign key reference: customer_id or CustomerID?,conflicting_references,unknown,True,1.0,0.9254997409810218,0,,adequate,0,True,"The CUSTOMERS table has both customer_id (defined as PRIMARY KEY) and CustomerID (defined as INTEGER with no constraints). The ORDERS table also has both customer_id and CustomerID columns with ambiguous FK references. The data dictionary indicates this inconsistency is documented but not yet resolved, pending verification with the DBA team.","The retrieved schema documentation shows that `CUSTOMERS` has both `customer_id` (INTEGER, PK) and a duplicate/legacy-style `CustomerID` column (INTEGER). For `ORDERS`, both `customer_id` and `CustomerID` are listed as FK columns, but the context explicitly notes that the FK reference is unclear and requires verification (“check with DBA” and “which table? … [FK reference unclear]”).

So, based strictly on the provided context, there is no definitive answer. The only PK explicitly identified for `CUSTOMERS` is `customer_id`, which makes `customer_id` the more directly documented reference, but the context does not confirm that `CustomerID` can (or should) be used as the FK target."
AB-BEST,05_edgecases_incomplete,,ec_004,What are the valid values for order_status?,missing_constraint,unknown,True,1.0,0.7,0,,adequate,0,True,"The business glossary documents several order statuses: Pending, Processing, Completed, Cancelled, On Hold, and Failed (which is marked as [definition missing]). However, these are not enforced by a CHECK constraint in the schema, and the data dictionary notes that valid values reference '[missing documentation]'.","I cannot find this information in the knowledge graph.

The `orders` table schema (from the retrieved context) notes that it stores “status” for each order, and the `PAYMENTS` section explicitly mentions that “payment_status workflow not defined” and “status values: No enum documentation.” However, the retrieved context does not list any valid values or allowed set for `order_status` (nor does it document a constraint/enum/check for order status)."
AB-BEST,05_edgecases_incomplete,,ec_005,"Is there a difference between Product, Item, and SKU?",ambiguous_synonyms,unknown,True,1.0,0.7,0,,adequate,0,True,"The glossary indicates these terms are related but distinct: Product is defined as ""A thing that is... [definition needs clarification]""; Item is a synonym for Product used in inventory context; SKU (Stock Keeping Unit) is a unique identifier for a product variant; Inventory Item refers to physical products in stock; and Merchandise is described as goods available for sale, similar to Product. The exact distinctions are not clearly defined.","Yes—based on the business glossary, the schema/business concepts distinguish these terms:

Product is defined as “A thing that is …” but the definition is incomplete in the provided context.

Item is stated to be a synonym for Product and is “used in inventory context.”

SKU is defined as “Stock Keeping Unit - a unique identifier for a product variant.”

So, from what’s documented: Product and Item refer to essentially the same concept (with “Item” used in inventory context), while SKU is a unique identifier for a product variant rather than a separate category from Product/Item. The context does not provide a complete formal definition of Product beyond the incomplete statement."
AB-BEST,05_edgecases_incomplete,,ec_006,Which table should ORDER_ITEMS.product_id reference: PRODUCTS or INVENTORY?,ambiguous_reference,unknown,True,0.5,0.9608783531246672,0,,adequate,0,True,The data dictionary states the FK reference is to 'PRODUCTS (or INVENTORY?)' and notes it is 'not verified'. The schema provides two potential targets: PRODUCTS table (which has product_id) and an INVENTORY table that is referenced in documentation but not defined in the DDL. The actual relationship cannot be determined from the available documentation.,"The knowledge graph cannot verify whether `ORDER_ITEMS.product_id` references `PRODUCTS` or `INVENTORY`.

In the `ORDER_ITEMS` section, `product_id` is described as an FK (“FK | References PRODUCTS (or INVENTORY?)”) and it explicitly notes that “FK to PRODUCTS or INVENTORY table not verified.”"
AB-BEST,05_edgecases_incomplete,,ec_007,What's the difference between Revenue and Sales?,circular_definition,unknown,True,0.0,0.7,0,,adequate,1,True,"Both terms show circular definitions: Revenue is defined as 'Income from sales. The same as... [definition circular, see Sales]', while Sales is defined as 'Revenue from selling products. See Revenue.' The glossary provides no clear distinction between these concepts.","In the BUSINESS GLOSSARY, the `Revenue` concept is defined as “Income from sales.” The `Sales` concept is defined as “Revenue from selling products.” The context does not explicitly state that Revenue and Sales are the same concept or that they are opposites; it only provides these cross-referencing definitions."
AB-BEST,05_edgecases_incomplete,,ec_008,Can one order have multiple payments?,conflicting_cardinality,unknown,True,0.5,0.7,0,,adequate,0,True,"The PAYMENTS table has an order_id column, suggesting a many-to-one relationship (multiple payments can reference a single order). However, the relationship section in the glossary asks 'Or is it one-to-one?' indicating uncertainty. The ORDERS table has both payment_status and payment_method columns (singular), which might suggest a single payment per order, but this conflicts with the PAYMENTS table structure.","The retrieved context does not define the database-level relationship/cardinality between orders and payments, and it also notes that “relationships [are] unclear” and that the “payment_status workflow [is] not defined” in the `PAYMENTS` documentation.

However, the business glossary states: “Order to Payment: An order may have multiple payment attempts. Or is it one-to-one?” This implies the intended/possible design is that one order can have multiple payments (or at least multiple payment attempts), but the context explicitly marks this as unclear and asks for clarification."
AB-BEST,05_edgecases_incomplete,,ec_009,What payment methods are accepted?,missing_enum_values,unknown,True,1.0,0.7,0,,adequate,0,True,"The PAYMENTS table has a payment_method column (VARCHAR(30)), but the data dictionary notes '[missing valid values]' and no CHECK constraint exists to enumerate acceptable methods. The schema does not document what values are valid (e.g., credit_card, debit, paypal, etc.).","The retrieved context does not define the accepted payment methods. In the `payments` table, the `payment_method` column exists (`VARCHAR(30)`), but the valid values are “not documented” (the context only suggests examples like “credit_card, debit, paypal?” without listing an authoritative set). Therefore, the knowledge graph cannot confirm which payment methods are accepted."
AB-BEST,05_edgecases_incomplete,,ec_010,What's the correct table name: ORDER_ITEMS or ORDER_DETAILS?,naming_ambiguity,unknown,True,1.0,0.9626731126558706,0,,adequate,0,True,"The DDL creates a table named ORDER_ITEMS, but the data dictionary header shows 'ORDER_ITEMS (or ORDER_DETAILS?)' and notes 'Table name ambiguity: ORDER_ITEMS vs ORDER_DETAILS'. The actual table name in the schema is ORDER_ITEMS, but documentation suggests the application may reference it differently.","The retrieved context explicitly shows a table-name ambiguity between `ORDER_ITEMS` and `ORDER_DETAILS`, but it does not provide enough information to confirm which one is the correct table name.

What we do have in the context is that it contains schema details labeled “========================================== ORDER_ITEMS (or ORDER_DETAILS?) ==========================================”, and the only concrete table name used elsewhere in the same context is `order_items` (e.g., `order_items` is referenced as a physical table, and attributes like `order_items.unitprice`, `order_items.product_id`, `order_items.discount_percent`, `order_items.linetotal`, and `order_items.quantity` are referenced).

So, based strictly on what’s present, `order_items` appears in the evidence as the actual table name referenced for the order line-item attributes, but the context still flags the overall schema as ambiguous and does not conclusively verify that `ORDER_ITEMS` is definitively correct over `ORDER_DETAILS`."
AB-BEST,05_edgecases_incomplete,,ec_011,"Which date column should be used to track when an order was created: order_date, OrderDate, or created_at?",duplicate_columns,unknown,True,1.0,0.9674102552339746,0,,adequate,0,True,"The ORDERS table has three date-related columns: order_date (DATE type), OrderDate (DATETIME type with different precision), and created_at (TIMESTAMP type). The data dictionary provides no guidance on which is actually used by the application or why three columns exist for potentially the same purpose.","Use `order_date` to track when an order was created. In the `ORDERS` table, `order_date` is defined with type `DATE` as “Date order was created.” The context also lists `OrderDate` (a possible duplicate) and `created_at` (a `TIMESTAMP` field), but it does not provide documentation clarifying that `created_at` corresponds to order creation time—only that it exists."
AB-BEST,05_edgecases_incomplete,,ec_012,What does the Failed order status mean?,missing_definition,unknown,True,1.0,0.7,0,,adequate,0,True,"The business glossary lists Failed as an order status but marks it as '[definition missing]'. Other statuses have definitions (Pending, Processing, Completed, Cancelled, On Hold), but Failed is undefined despite being a valid status value.","The retrieved context includes an “Order Status” list with values: Pending, Processing, Completed, Cancelled, On Hold, and Failed. However, the definition for Failed is missing: it shows “Failed: [definition missing]”.  

So, from the knowledge graph, the only factual claim is that “Failed” is an order status value, but it does not specify what it means."
AB-BEST,05_edgecases_incomplete,,ec_013,Are there any NOT NULL constraints defined in the schema?,missing_constraints,unknown,True,,0.7627776615116516,0,,adequate,1,True,"No explicit NOT NULL constraints are written in the DDL. The schema comment states 'NOT NULL constraints not defined' and the data dictionary notes them as 'assumed, not verified'. However, PRIMARY KEY columns (e.g., ORDER_ID, CUSTOMER_ID) are implicitly NOT NULL per SQL standard, even though the keyword is not written. All non-PK columns are effectively nullable by default.","In the retrieved context, NOT NULL constraints are not documented. Specifically, under the PAYMENTS table section the context explicitly states: “The following constraints are not documented: - NOT NULL constraints (assumed, not verified).” Therefore, from the provided knowledge graph, I cannot confirm whether any NOT NULL constraints exist elsewhere in the schema; the only factual statement we have is that NOT NULL constraints are not specified/documented (at least in the PAYMENTS chunk)."
AB-BEST,05_edgecases_incomplete,,ec_014,What's the difference between unit_price and current_price in PRODUCTS?,duplicate_columns,unknown,True,1.0,0.723504868613798,0,,adequate,0,True,"The PRODUCTS table has both unit_price and current_price columns (both DECIMAL(10,2)). The data dictionary asks 'Different from unit_price?' but provides no explanation of the distinction or when each would be used.","In the `PRODUCTS` table, `unit_price` is described as the “Standard selling price,” while `current_price` is described as being “different from unit_price?” and is a separate price field (`current_price DECIMAL(10,2)`) that also appears to represent the product’s price at the time of catalog usage. The context does not provide further detail on how `current_price` is determined or when it differs beyond the note that it may be different from `unit_price`."
AB-BEST,05_edgecases_incomplete,,ec_015,When is an invoice generated vs payment processed?,missing_workflow,unknown,True,1.0,0.7,0,,adequate,0,True,"The relationship section in the glossary asks 'An invoice is generated for an order. But when? And can one order have multiple invoices?' indicating the timing and cardinality are not defined. The glossary defines Invoice as 'A document requesting payment. Related to Bill' and Payment as 'The transfer of money to settle an order', but doesn't specify the workflow or sequence.","The knowledge graph defines the terms as follows: an Invoice is a document requesting payment, and a Receipt is the proof of payment generated after Payment is processed. This supports that payment processing occurs before a receipt is generated, but it does not specify when an invoice is generated relative to order creation or relative to payment processing.

The context also does not provide any schema-level fields, triggers, or dates that would let us determine invoice-generation timing (for example, an “invoice_generated_at” column or an invoice table with an invoice date). Therefore, the exact timing difference between “invoice generated” and “payment processed” cannot be determined from the provided context."
AB-BEST,05_edgecases_incomplete,,ec_016,Is the sku column in PRODUCTS unique?,missing_uniqueness,unknown,True,1.0,0.7699462646231279,0,,adequate,1,True,The PRODUCTS table has both product_sku and sku columns. The data dictionary notes sku 'should be UNIQUE?' but the DDL does not define a UNIQUE constraint on either column. No index is documented for these columns.,"The retrieved context shows `products.sku` with the annotation `UNIQUE?` (and also marks it as `[duplicate?]`), which indicates uncertainty rather than a confirmed uniqueness constraint. The context therefore does not definitively state that `sku` in `PRODUCTS` is unique. Additionally, the context separately lists `product_sku` as a column in `PRODUCTS`, with no confirmed uniqueness information for either column."
