study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-001,What information does the customer table store and what constraints does it have?,direct_mapping,Easy,True,1.0,0.9178933729531492,39,proceed,adequate,0,True,"The customer table stores customer_id (PK), customer_number (UNIQUE), customer_name, customer_type_id (FK to customer_type), tax_id, registration_date, status (ACTIVE/INACTIVE/SUSPENDED via CHECK), credit_limit (default 0), currency (default USD), payment_terms (default 30 days), credit_score (CHECK 0-100), annual_revenue, industry_code, and website. Timestamps created_at and updated_at track record changes.","The knowledge graph describes a `customer` table (referenced in multiple foreign key relationships such as `payment`, `customer_contact`, `sales_order`, and `customer`) as storing key information about customers. Specifically, it stores identifiers, names, customer classification, tax and regulatory details, financial credentials, contact-related data, and audit timestamps.

However, the retrieved context does not provide explicit database constraints for the `customer` table (for example, whether specific columns are NOT NULL, whether there are primary/unique constraints, or any check constraints)."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-002,How does the schema classify different types of products?,direct_mapping,Easy,True,1.0,0.7,43,proceed,adequate,0,True,"Products are classified by product_type via CHECK constraint: FINISHED_GOOD, RAW_MATERIAL, SERVICE, or CONSUMABLE. They also belong to a hierarchical product_category (via category_id FK) where product_category has a self-referencing parent_category_id for nested categories. Products also track status (ACTIVE/DISCONTINUED/PHASE_OUT), shelf_life_days, storage temperature range (min/max), and a hazardous boolean flag.","The schema classifies different types of products using the `product` attributes `product_type` and `category_id`. In the glossary, the `Product` concept is defined as having different “pricing and inventory tracking requirements,” and the `Product` attributes explicitly include `product_type` and `category_id`, along with other product identification and lifecycle fields."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-003,What is the structure of the sales order and how does it link to customers and products?,multi_hop,Medium,True,1.0,0.7364006023908275,49,proceed,adequate,0,True,"The sales_order table links to customer via customer_id FK and to warehouse via warehouse_id. It tracks order_number (UNIQUE), order_date, required_date, promised_date, subtotal/tax_amount/freight_amount/total_amount, and status (DRAFT/CONFIRMED/PICKED/SHIPPED/INVOICED/CANCELLED via CHECK). Priority can be LOW/NORMAL/HIGH/URGENT. Sales order lines (sales_order_line) link each order to products via product_id FK, tracking quantities (ordered/shipped/invoiced), unit_price, discount_percentage, and line-level status.","The retrieved context describes a “Sales Order” business concept with these attributes: `order_id`, `customer_id`, `order_date`, `delivery_date`, `total_amount`, `status`, `sales_rep_id`, and `warehouse_id`. It also states that the `sales_order` table stores business data for customer orders, including customer and salesperson references, order dates, shipping and payment details, currency and line-item totals, order status and priority, and audit timestamps.

In terms of links to other entities, the knowledge graph shows:
1) `sales_order` references `customer` via a foreign key `customer_id -> customer.customer_id`.
2) `sales_order_line` references `product` via a foreign key `product_id -> product.product_id`.
3) `sales_order_line` references `sales_order` via a foreign key `order_id -> sales_order.order_id`.

So, a sales order header is identified by `order_id` and linked to a customer through `sales_order.customer_id`. The ordered products are linked through `sales_order_line`, which connects back to the specific `sales_order` using `order_id` and connects to the specific `product` using `product_id`."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-004,How does the schema represent supplier information and their classification?,direct_mapping,Easy,True,1.0,0.7,39,proceed,adequate,0,True,"The supplier table stores supplier_id (PK), supplier_number (UNIQUE), supplier_name, supplier_type (MANUFACTURER/DISTRIBUTOR/SERVICE_PROVIDER via CHECK), tax_id, registration_date, and status (ACTIVE/INACTIVE/ON_HOLD/BLACKLISTED). Performance metrics are tracked: credit_rating (A/B/C/D), lead_time_days, quality_rating (0-5), and on_time_delivery_rate (0-100%). Suppliers have associated supplier_address (with types MAIN/BILLING/SHIPPING/RETURN) and supplier_contact tables.","The schema represents supplier information using the `supplier` table. This table stores supplier identification and classification attributes, including `supplier_id` and `supplier_name`, as well as classification-related fields `supplier_type`, `status`, and other qualification attributes such as `credit_rating`, `payment_terms`, `currency`, and `lead_time_days`.

In terms of classification within the supplier domain, the business glossary defines `Supplier` as an external entity providing goods or services, with suppliers evaluated on quality, delivery performance, and cost, and “each supplier has a credit rating and payment terms.” The schema-level attributes in `supplier` align with that by including `credit_rating` and `payment_terms`, along with delivery-related `lead_time_days` and a `status` to track supplier lifecycle state."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-005,What types of warehouses does the system support and how is storage organized?,multi_hop,Medium,True,1.0,0.7,41,proceed,adequate,0,True,"The warehouse table defines four types via CHECK: COMPANY_OWNED, 3PL (third-party logistics), VIRTUAL, and TRANSIT. Each warehouse has capacity_cubic_meters and status (ACTIVE/INACTIVE/UNDER_MAINTENANCE). Storage is organized hierarchically: warehouse → warehouse_zone (types: BULK/PICK/STAGING/RECEIVING/SHIPPING, with temperature_controlled flag) → bin_location (types: BULK/PICK/FLOW_RACK/CANTILEVER, with capacity_quantity, capacity_weight, and status ACTIVE/FULL/LOCKED/QUARANTINE). Bin codes are unique within each warehouse.","The system supports different warehouse types as indicated by the **Warehouse** concept: warehouses can be company-owned, third-party logistics (3PL) facilities, or virtual locations for transit inventory. In the schema context for **warehouse**, this is represented by the attribute **warehouse_type** (along with capacity, manager, and status).

Storage organization within a warehouse is structured using **Bin Location** and **Warehouse Zone**. **Bin locations** are specific storage locations within a warehouse and are organized into **zones, aisles, shelves, and positions** for efficient picking and put-away. The context also states that **warehouse_zone** stores zones within a warehouse (and is linked back to the parent warehouse via **warehouse_id**), and **bin locations** include **zone_id** (so bins belong to zones within a warehouse)."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-006,How does the inventory tracking system work across the schema?,multi_hop,Medium,True,1.0,0.7,41,proceed,adequate,0,True,"Inventory is tracked at two levels. The inventory_on_hand table records current stock per product/warehouse/bin/lot combination (UNIQUE constraint), with quantity_on_hand, quantity_allocated, and a computed quantity_available column (on_hand minus allocated). The inventory_transaction table logs all movements with types: RECEIPT, ISSUE, TRANSFER, ADJUSTMENT, CYCLE_COUNT, SCRAP, and RETURN. Each transaction references a product, warehouse, bin, and optionally a source document (reference_type + reference_id) for traceability.","In this system, inventory tracking is implemented through the concept of “Inventory Transaction” and its related entities.

At the core, inventory movement is recorded in the “Inventory Transaction” concept as a record of any movement or change in inventory quantity. Transactions include receipts, issues, transfers, adjustments, and cycle counts, and they carry attributes such as `transaction_id`, `product_id`, `warehouse_id`, `transaction_type`, `quantity`, `transaction_date`, `reference_type`, `reference_id`, and `unit_cost`. The schema relationships specified in the context show how each transaction is tied to the physical storage and what item moved: `inventory_transaction.warehouse_id` references `warehouse.warehouse_id`, `inventory_transaction.product_id` references `product.product_id`, and `inventory_transaction.bin_id` references `bin_location.bin_id`.

The warehousing structure supports this by defining “Warehouse” as the physical location where inventory is stored (company-owned, 3PL, or virtual transit inventory), and “Bin Location” as a specific storage location within a warehouse, organized into zones/aisles/shelves/positions. Bin locations are tied to both storage organization and the specific product being held at that bin: `bin_location` includes `warehouse_id`, zone/aisle/shelf/position identifiers, capacity/current quantity fields, and `product_id`. The context also links “Inventory Transaction” to bin locations via `bin_id -> bin_location.bin_id`, and it describes the inventory movement as linking product, warehouse, and bin locations with details about transaction type, date, quantity, cost, and reference data for auditing and stock management.

Transfers across locations are handled through the “Stock Transfer” concept, which represents movement of inventory between warehouses or locations. A stock transfer has attributes including `transfer_id`, `from_warehouse_id`, `to_warehouse_id`, `transfer_date`, `status`, `shipment_method`, and `tracking_number`, and it is related to “Inventory Transaction,” indicating that inventory changes are also captured through inventory transactions when stock is transferred.

So, across the schema, inventory tracking works by writing an `inventory_transaction` whenever quantity changes (receipts/issues/transfers/adjustments/cycle counts), tying each transaction to the relevant `warehouse`, `product`, and (when applicable) `bin_location` using the foreign keys `warehouse_id`, `product_id`, and `bin_id`."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-007,What is the Bill of Materials structure and how does it support multi-level product hierarchies?,direct_mapping,Medium,True,1.0,0.9731898041004327,33,proceed,adequate,0,True,"The bill_of_materials table implements a many-to-many self-referencing relationship on the product table: parent_product_id (FK to product) contains component_product_id (FK to product) with a specified quantity and unit_of_measure. Components are classified as COMPONENT, PHANTOM, BYPRODUCT, or CO_PRODUCT via CHECK. Each BOM entry has effective_start_date and optional effective_end_date for date-effectivity, with a UNIQUE constraint on (parent_product_id, component_product_id, effective_start_date). Multi-level hierarchies are traversed recursively through the product table.","The Bill of Materials (BOM) is defined as a hierarchical list of raw materials, sub-assemblies, and quantities required to manufacture a finished product. BOMs can be single-level or multi-level, and they can include phantom items.

In the schema, BOM structure is captured in the `bill_of_materials` table, which stores each relationship between a parent product and its required components. The key attributes are `bom_id`, `product_id`, `component_id`, `quantity`, `unit_of_measure`, `scrap_percentage`, and validity dates `effective_start_date` and `effective_end_date`. The BOM therefore specifies which components (by product) are required to assemble a parent product, including the quantity needed, units, scrap factors, and when the component requirement is effective.

The hierarchical (multi-level) aspect is supported by the fact that the BOM entries reference products as components, meaning components themselves can be products that have their own BOM definitions. The related foreign key relationship in the context indicates this linkage: `bill_of_materials` references `product` via `component_product_id -> product.component_product_id`. Together, this enables multi-level product hierarchies by chaining BOM component products across multiple BOM levels."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-008,How are work orders structured and what do they track?,multi_hop,Medium,True,1.0,0.9448931005611606,40,proceed,adequate,0,True,"The work_order table references product_id (what to produce), production_line_id (where), and warehouse_id (inventory location). It tracks quantity_ordered, quantity_completed, quantity_scrapped, planned dates (start_date, required_date), actual dates (actual_start_date, actual_finish_date), status (DRAFT/RELEASED/IN_PROGRESS/COMPLETED/CANCELLED), and priority (LOW/NORMAL/HIGH/URGENT). Materials are tracked via work_order_material which links to products and bins with quantity_required vs quantity_issued. Production is scheduled via production_schedule linking work_orders to production_lines with planned vs actual timestamps.","Work orders are structured as a document that authorizes the production of a specified quantity of product. In the schema/business concept, a work order stores these attributes: `work_order_id`, `product_id`, `quantity_ordered`, `quantity_completed`, `start_date`, `required_date`, `status`, `production_line_id`, and `priority`.

They track production execution and job costing information. Specifically, work orders track labor, materials, and overhead costs for job costing, and they tie the work order to the `product` and the `production_line` it will be carried out on. The context also defines the structure around this: `Bill of Materials` is a hierarchical list of raw materials and sub-assemblies (with possible single-level/multi-level including phantom items) that is associated with producing a finished product, and `Work Order` is a related concept to `Material Requirement`, `Production Schedule`, and `Work Order Operation` (indicating work orders participate in scheduling and material planning)."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-009,How does the quality management system work in the schema?,multi_hop,Medium,True,1.0,0.7,42,proceed,adequate,0,True,"Quality is managed through three related tables. quality_inspection records inspections with types INCOMING/IN_PROCESS/FINAL/AUDIT, results PENDING/PASS/FAIL/CONDITIONAL_PASS, and links to quality_standard (types INTERNAL/ISO/ASTM/FDA/CE). Inspections track defects_found, sample_size, and batch_size. When inspections fail, non_conformance_report records are created with types PRODUCT/PROCESS/DOCUMENTATION/SUPPLIER, severity MINOR/MAJOR/CRITICAL, and status OPEN/IN_PROGRESS/CLOSED/VERIFIED. NCRs track root_cause, corrective_action, and preventive_action for CAPA compliance.","The quality management system in the schema is centered on the `Quality Inspection` and `Quality Standard` concepts.

A `Quality Standard` defines the acceptance criteria used by the organization. In the schema it is represented by the `quality_standard` table, which stores standard identifiers and metadata such as `standard_id`, `standard_code`, `standard_name`, `standard_type`, `version`, `issue_date`, and `status` (and it is also described as internal or external standards like ISO/ASTM/FDA in the business definition).

Quality inspections are recorded as instances in the `quality_inspection` table. The inspection captures the inspection details and outcome, including inspection classification and references such as inspection attributes `inspection_id`, `inspection_type`, `reference_type`, `reference_id`, `product_id`, `inspection_date`, `inspector_id`, `result`, `defects_found`, and `status`. Each inspection is linked to the specific product being inspected via the `product_id` foreign key, and it is also linked to the quality criteria used for the inspection via the `standard_id` foreign key to `quality_standard`.

The `quality_inspection` table also links the inspection to a warehouse context through `warehouse_id` (via a foreign key to `warehouse.warehouse_id`), tying each inspection record to where it occurred or was handled.

From a workflow perspective, the business definition says inspections can be incoming (from suppliers), in-process (during production), or final (before shipping), and these categories are represented in the inspection record by `inspection_type`. Additionally, a quality inspection can relate to the broader quality compliance process by triggering or connecting to `Non-Conformance Report` concepts in the business glossary, which describe deviations that do not meet specifications and include fields like `severity`, `root_cause`, and `resolution_date`; however, the provided context does not include the table structure for non-conformance reports or how they are physically linked to `quality_inspection`."
AB-BEST-K20,07_stress_large_scale,run-20260717_154008,QA-010,What is the complete invoice lifecycle and how are invoices linked to orders and payments?,multi_hop,Medium,True,1.0,0.7,39,proceed,adequate,0,True,"The invoice table supports four types via CHECK: SALES, PURCHASE, CREDIT_MEMO, and DEBIT_MEMO. Invoices link to customer_id and optionally order_id (FK to sales_order). They track subtotal/tax_amount/total_amount/amount_paid/balance_due and status (DRAFT/POSTED/PAID/OVERDUE/VOID). Each invoice has invoice_line items linking to products and optionally back to order_line_id. Payments reference invoices via invoice_id FK, with payment_type (RECEIPT/PAYMENT/REFUND), payment_method (CASH/CREDIT_CARD/WIRE/CHECK/ACH), and status (PENDING/COMPLETED/FAILED/REVERSED).","From the retrieved context, I can describe the linking relationships between invoices, orders, invoice line items, payments, and accounts payable. However, I do not have enough information in the context to state a complete invoice lifecycle (e.g., the specific status values, allowed transitions, or business rules governing progression).

Invoice lifecycle (partial, from context)
The `invoice` table includes a “current status” attribute, meaning invoices have a status value used for reconciliation/processing. The context does not provide the possible status values or the rules for how status changes over time.

How invoices are linked to orders
Invoices are linked to orders through a foreign key: `invoice.order_id -> sales_order.order_id`. This establishes that each invoice references a sales order.

How invoices are linked to invoice line items
The context includes an `invoice_line` entity/relationship:
- `invoice_line.order_line_id -> sales_order_line.order_line_id`
- `invoice_line.invoice_id -> invoice.invoice_id`
So invoice lines belong to an invoice (via `invoice_id`) and also map back to specific order lines (via `order_line_id`).

How invoices are linked to payments
Payments are linked to invoices through a foreign key: `payment.invoice_id -> invoice.invoice_id`. The `payment` column description further indicates that payments include identifiers, dates, amounts, currencies, methods, references, and status “for reconciliation with invoices,” but the context does not define the payment status values or transitions.

How invoices relate to accounts payable
`accounts_payable` is linked to invoices via `accounts_payable.invoice_id -> invoice.invoice_id`, indicating that accounts payable records are tied to invoice records in order to manage obligations and track outstanding payments.

What remains unavailable from the context
The context does not specify the complete invoice lifecycle (the full set of invoice status values and the allowed movement between them), and it does not define any effective dating or explicit lifecycle/business rules beyond the presence of a “current status” attribute."
