study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,06_edgecases_legacy,,1,What is the purpose of the tblCustomer table?,unknown,unknown,True,1.0,0.9965029897474263,0,,adequate,0,True,"The tblCustomer table stores customer master data including customer codes, names, email addresses, and region information. It uses Hungarian notation with the str prefix for string fields and contains both legacy fields (strCustID, strFullName) and new migration compatibility fields (cust_id, customer_name).","The `tblCustomer` table stores customer master data from the legacy CRM system in the CustomerMaster database. It contains legacy customer identifiers inherited from the AS/400 system, along with customer information such as the customer’s full name, email (optional), region and country, record creation and last modification timestamps, and an active/inactive flag (bolActive)."
AB-BEST-K20,06_edgecases_legacy,,2,How are customers identified in the legacy system?,unknown,unknown,True,1.0,0.8292155820981656,0,,adequate,0,True,"Customers are identified by strCustID, which is a VARCHAR(50) field containing alphanumeric customer codes inherited from an AS/400 system. These codes follow formats like C-XXXXX or REG-XXXX and can contain letters, numbers, and hyphens.","In the legacy CustomerMaster system, customers are identified by the primary key in `tblCustomer`: `strCustID`. This is an alphanumeric customer code inherited from the AS/400 system (format examples: `C-XXXXX` or `REG-XXXX`), stored as `VARCHAR(50)`, and it is `NOT NULL` and `UNIQUE`."
AB-BEST-K20,06_edgecases_legacy,,3,What table stores order header information and what is its primary key?,unknown,unknown,True,1.0,0.9353465116437761,0,,adequate,0,True,"Order header information is stored in the vw_SalesOrderHdr table despite the vw_ prefix suggesting it's a view. The primary key is lngOrderID, which is an INT field using the lng (long integer) Hungarian notation prefix.","The table/view `vw_SalesOrderHdr` stores the sales order header information, and its primary key is `lngOrderID` (INT, PK)."
AB-BEST-K20,06_edgecases_legacy,,4,Which table in the schema uses a SQL reserved word as its name?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,The schema includes two tables that use SQL reserved words: 'Group' (for product categories) and 'User' (for system users). These require square bracket quoting [Group] and [User] in SQL queries to avoid syntax errors.,"The schema uses SQL reserved words as table names for the tables `Group` and `User`. The context notes that `Group` “is a SQL reserved word, requires square brackets” and that `User` “is a SQL reserved word, requires square brackets.”"
AB-BEST-K20,06_edgecases_legacy,,5,What is the relationship between vw_SalesOrderHdr and tblCustomer?,unknown,unknown,True,1.0,0.9987600038640845,0,,adequate,0,True,"vw_SalesOrderHdr has a foreign key relationship with tblCustomer through the intCustID field, which references strCustID. Despite the int prefix suggesting an integer, intCustID is actually a VARCHAR(50) field matching the strCustID data type.",The relationship between **vw_SalesOrderHdr** and **tblCustomer** is a **foreign key reference**: **vw_SalesOrderHdr.intCustID (VARCHAR 50) → tblCustomer.strCustID**. This represents a **one-to-many** business relationship where **a customer can have many orders over time**.
AB-BEST-K20,06_edgecases_legacy,,6,What naming convention is used for the inventory transaction log table?,unknown,unknown,True,1.0,0.9305845275935024,0,,adequate,0,True,"The inventory transaction log table is named 'inv_txn_log' using abbreviated naming with underscore separators. Field names within this table are also heavily abbreviated: txn_id (transaction ID), txn_dt (transaction date), txn_type (transaction type), and prod_id (product ID).",The inventory transaction log table `inv_txn_log` uses “Heavily abbreviated” naming convention (as stated under “TABLE: inv_txn_log” → “Naming Convention: Heavily abbreviated”).
AB-BEST-K20,06_edgecases_legacy,,7,What data quality issue exists in the tblProduct unit_cost field?,unknown,unknown,True,1.0,0.8596637505099167,0,,adequate,0,True,"The tblProduct.unit_cost field has an inappropriate data type - it's defined as VARCHAR(20) instead of DECIMAL. This field contains currency symbols like '$19.99' which require parsing before calculations can be performed, making it unusable for mathematical operations without transformation.","In `tblProduct`, the `unit_cost` field is a data quality issue because it is stored as `VARCHAR(20)` instead of a money/decimal type. The context also states that `unit_cost` contains `""$""` symbols and therefore “requires parsing before calculations,” and it is specifically noted as a bug: it “should be DECIMAL.”"
AB-BEST-K20,06_edgecases_legacy,,8,How does the ord_line_item table handle product data redundancy?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,The ord_line_item table contains redundant copies of product data (product_code and item_name) that are denormalized for reporting performance and to snapshot product information at the time of order. These fields may become out of sync with the tblProduct master and should not be updated from product master changes.,"The `ord_line_item` table handles product data redundancy by storing redundant product attributes copied from the product master for historical accuracy.

Specifically, `ord_line_item` has `product_code` and `item_name` fields described as “REDUNDANT” copies of `tblProduct.strSKU` and the product name at order time, respectively. These values “may be out of sync with master” and, importantly, “do NOT update if product name changes,” so the line item preserves the product identification/details as they were when the order was created. This redundancy is intentional and is also noted in the migration/business glossary notes: the `ord_line_item` table contains redundant copies of product data (`product_code`, `item_name`) that “should NOT be updated from the product master.”"
AB-BEST-K20,06_edgecases_legacy,,9,What are the valid values for the strOrderStatus field in vw_SalesOrderHdr?,unknown,unknown,True,1.0,0.9125920825087166,0,,adequate,0,True,"The strOrderStatus field accepts three values enforced by a CHECK constraint: 'PENDING' (order received but not shipped), 'SHIPPED' (order has been shipped to customer), and 'CANCELLED' (order cancelled before shipping).","The `vw_SalesOrderHdr.strOrderStatus` field has valid values of `""PENDING""`, `""SHIPPED""`, and `""CANCELLED""`."
AB-BEST-K20,06_edgecases_legacy,,10,Which table stores payment information and what security issue does it have?,unknown,unknown,True,1.0,0.7,0,,adequate,0,True,"Payment information is stored in the tblPayment table. The table has a critical security issue: the CardNumberText field stores full unencrypted credit card numbers as VARCHAR(100), which is a PCI compliance violation. The system also lacks proper tokenization and encryption at rest.",Payment information is stored in `tblPayment`. The security issue is that `tblPayment.CardNumberText` stores full unencrypted card numbers (PAN) as text and should be tokenized; this is described as a PCI compliance violation.
