study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,1,What is a checking account?,direct_mapping,Easy,True,1.0,0.7,41,proceed,adequate,0,True,"A checking account is one of five account types (Checking, Savings, MoneyMarket, CD, Investment) defined by the CHECK constraint on the accounts table. According to the business glossary, accounts are financial arrangements for deposit, withdrawal, and management of funds. The schema tracks current_balance, available_balance, minimum_balance, monthly_fee, and interest_rate (nullable for non-interest accounts). Checking accounts can have subtypes like Premium or Standard via the account_subtype column. Debit cards can be linked to checking accounts for direct spending, as noted in the Card business rules.","The retrieved context does not define “checking account” as its own separate business concept. However, it does define an “Account” and lists “Checking” as one of the supported account types.

In the schema, `accounts.account_type` can be `Checking` (along with `Savings`, `MoneyMarket`, `CD`, and `Investment`). These deposit accounts are financial arrangements between a customer and the bank that allow deposit, withdrawal, and management of funds, and they track attributes such as account number (unique), current and available balance, interest rate and interest earned, minimum balance requirements, monthly fees, and account status (`Active`, `Dormant`, `Frozen`, `Closed`)."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,2,What is the difference between a savings account and a money market account?,direct_mapping,Easy,True,1.0,0.7,44,proceed,adequate,0,True,"Both savings and money market are account types defined in the accounts table CHECK constraint. The business glossary Interest section provides example rates: Standard Savings earns 0.25% APY (with monthly compounding), Premium Savings earns 0.50% APY (with daily compounding), while Money Market earns 0.75% APY tiered by balance. Both account types have interest_rate, minimum_balance, and monthly_fee columns in the schema. The glossary examples show savings accounts with varying balances and subtypes (Standard, Premium), while money market accounts are listed alongside checking and savings as deposit products.","The context does not provide a direct, explicit difference between a “Savings” account and a “MoneyMarket” account. It only defines both as possible values of `account_type` in the `accounts` table (Checking/Savings/MoneyMarket/CD/Investment), and it provides examples in the `Account` business glossary.

From the provided examples in the `Account` glossary, a “Savings Account” example is “Savings Account SAV-003001 (Premium) with $48,750.50 balance earning 0.50% APY,” while a “Money Market Account” example is “Money Market Account MM-003001 with $25,000 balance earning 0.75% APY tiered by balance” (the latter is described in the broader Interest examples for Money Market). Aside from these interest-related examples and the shared shared account attributes (e.g., both track current vs available balance, interest rate/interest earned when applicable, and status), no other account-type-specific behavioral differences are stated in the retrieved context."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,3,What is APR versus APY?,direct_mapping,Easy,True,1.0,0.9607312480728336,40,proceed,adequate,0,True,"APR (Annual Percentage Rate) is the annual cost of a loan including interest and fees, used for loan products. APY (Annual Percentage Yield) is the effective annual rate including compounding effects for deposit products. APY is higher than the nominal rate when compounding is more frequent than annually. For example, a savings account might quote 0.25% APY reflecting daily compounding, while a loan quotes 5.5% APR including origination fees.","APR (Annual Percentage Rate) is the annual interest rate expressed for loans, while APY (Annual Percentage Yield) is the annual yield expressed for deposits. APY accounts for compounding effects and is higher than the stated rate (APR). The glossary also distinguishes that compounding frequency can be daily, monthly, or annually, and that simple vs. compound interest and fixed vs. variable rates may apply."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,4,What is KYC Level 2?,direct_mapping,Easy,True,1.0,0.7,39,proceed,adequate,0,True,"The customers table has a kyc_status column with a CHECK constraint allowing Level1, Level2, and Level3. The business glossary states that Level1 is the minimum requirement for account opening, Level3 is required for high-value accounts and international transfers, and risk_profile determines eligibility for products. KYC levels represent increasing verification requirements for regulatory compliance. Level2 falls between basic identity verification (Level1) and high-value account access (Level3), though the specific documentation requirements for each level are not detailed in the source documents.","KYC Level 2 is a valid KYC verification level for a customer. In the `customers` table, the column `kyc_status` stores the KYC verification level and is constrained to be one of `Level1`, `Level2`, or `Level3`. The `customers` record defaults `kyc_status` to `Level1`, and the business glossary states that KYC verification is required (with higher levels like Level3 required for certain high-value scenarios)."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,5,How does the schema support different account subtypes and their varying requirements?,direct_mapping,Easy,True,1.0,0.7,41,proceed,adequate,0,True,"The accounts table has an account_subtype column (VARCHAR 30, nullable) that stores values like Premium or Standard to differentiate within each account_type. Combined with the minimum_balance and monthly_fee columns, each account can have different requirements configured per subtype. The account_type CHECK constraint defines the broad categories (Checking, Savings, MoneyMarket, CD, Investment) while account_subtype provides finer differentiation. The business glossary confirms that minimum balance requirements may trigger monthly fees if not met.","The schema supports different account subtypes through the `accounts` table, which has an `account_subtype` column (`VARCHAR(30)`) that is nullable (`YES`). The `account_type` column (`VARCHAR(20)`) is required (`NO`) and is constrained with `CHECK (account_type IN ('Checking', 'Savings', 'MoneyMarket', 'CD', 'Investment'))`, so each account subtype is recorded within a specific allowed account type.

Varying “requirements” are represented by subtype-/type-dependent attributes that are nullable or have defaults. For example, `interest_rate` is nullable (`YES`) and is intended to be `NULL for non-interest accounts`, while account lifecycle and fee requirements are captured using `status` (`NO`, constrained to `CHECK (status IN ('Active', 'Dormant', 'Frozen', 'Closed'))`) plus financial fields like `minimum_balance` and `monthly_fee` (both `NO`). These fields have default values (`minimum_balance: 0.00`, `monthly_fee: 0.00`), and `status` defaults to `'Active'`. The account balance handling is also captured with both `current_balance` and `available_balance` (`NO` each), aligning with the business rule that available balance may differ from current balance due to holds or pending transactions."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,6,What types of loan products does the bank offer?,direct_mapping,Easy,True,1.0,0.7,32,proceed,adequate,0,True,"The bank offers five loan types defined by the CHECK constraint on loans.loan_type: (1) Mortgage — secured by real estate, glossary example shows $350,000 at 5.50% APR for 360 months; (2) Personal Loan — unsecured, example $15,000 at 8.50% APR for 48 months; (3) Auto Loan — secured by vehicle, example $35,000 at 6.50% APR for 60 months; (4) HELOC — revolving home equity credit line at variable rates, example $50,000 at 8.50% APR; (5) Credit Card — revolving credit, example $10,000 limit at 18.50% APR. The glossary notes that rates vary by type and creditworthiness, mortgages require collateral, and defaulted loans trigger collections.","The bank offers these loan product types: Mortgage, Personal, Auto, HELOC, and CreditCard. This is specified in the Loan/loans concept as `loan_type` with the CHECK constraint `loan_type IN ('Mortgage', 'Personal', 'Auto', 'HELOC', 'CreditCard')`."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,7,What is the daily ATM withdrawal limit defined in the schema?,direct_mapping,Easy,True,1.0,0.7,33,proceed,adequate,0,True,"The cards table has an atm_daily_limit column (DECIMAL 10,2, NOT NULL) with a default value of 500.00. This is a per-card limit, not per-customer — different card records can have different limits. The daily_limit column (default 3000.00) controls POS spending separately. The business glossary notes that daily limits prevent fraud and control exposure.","The daily ATM withdrawal limit defined in the schema is stored in the `cards` table in the `atm_daily_limit` column. Its description is “Maximum daily ATM withdrawal,” and it has a default value of `500.00`."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,8,What is the difference between a parent account and a child account?,direct_mapping,Easy,True,1.0,0.7,46,proceed,adequate,0,True,"The accounts table supports parent-child hierarchies through the parent_account_id self-referencing foreign key, with a CHECK constraint preventing circular references (parent_account_id != account_id). The data dictionary describes this as supporting portfolio aggregation where parent accounts (typically Investment type) contain child accounts. The business glossary states accounts may be organized into hierarchical portfolio structures for relationship management purposes. Child accounts set parent_account_id to reference their parent, while top-level accounts have parent_account_id as NULL.","In the `accounts` table, “parent account” and “child account” refer to a hierarchy used for portfolio aggregation.

A parent account is an account row where `parent_account_id` is `NULL` (top-level). Accounts can also reference a parent account via `parent_account_id`, and the context states this implements a parent-child hierarchy for portfolio aggregation (where investment accounts contain child accounts).

A child account is an account row whose `parent_account_id` is set to another row’s `account_id`, meaning it belongs under that parent in the hierarchy (e.g., under an investment parent account). The schema also prevents circular hierarchies by enforcing `CHECK (parent_account_id != account_id)` (no self-reference), and the table includes the `parent_account_id` column to link children to their parent."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,9,What does the status 'Frozen' mean for a card?,direct_mapping,Easy,True,1.0,0.7,44,proceed,adequate,0,True,"The cards table has a status column with four states defined by CHECK constraint: Active, Frozen, Blocked, and Expired. The business glossary states that lost or stolen cards must be immediately blocked to prevent fraud, and that expired cards are automatically renewed. The glossary distinguishes Frozen from Blocked as separate statuses, suggesting Frozen is a temporary or reversible suspension. The Account concept also supports a Frozen status alongside Active, Dormant, and Closed, indicating the bank uses Frozen consistently to mean a temporary restriction on the entity.","In the `cards` table, `status` is a card lifecycle state with allowed values `('Active', 'Frozen', 'Blocked', 'Expired')`. The context does not define the business meaning of `Frozen` specifically beyond listing it as one of the possible statuses."
AB-BEST-K20,02_intermediate_finance,run-20260703_125510,10,How does the transactions table track the impact of each transaction on account balances?,direct_mapping,Easy,True,1.0,0.8665847827360217,32,proceed,adequate,0,True,"The transactions table includes a balance_after column (DECIMAL 15,2) that records the account balance after each transaction is applied. Combined with the amount column, transaction_type (Debit/Credit/Transfer/Payment/Withdrawal/Deposit/Fee), and status (Pending/Posted/Failed/Cancelled/OnHold), this allows tracking how each transaction affects the account. The business glossary states that debit transactions reduce account balance, credit transactions increase it, posted transactions are final and cannot be modified (only reversed with a new transaction), and failed transactions are logged for audit but do not affect the balance.","The `transactions` table tracks balance impact using the `balance_after` column. It is defined as `balance_after DECIMAL(15,2) | Account balance after transaction`, and it is nullable (`YES`). Additionally, each transaction is tied to an account via `account_id` (`INTEGER`, `NO`) with a foreign key constraint `FOREIGN KEY (account_id) REFERENCES accounts(account_id)`. The `accounts` table stores balances in `current_balance` (current balance including pending transactions) and `available_balance` (available for withdrawal excluding holds), so `transactions.balance_after` represents the account’s balance result after applying that specific transaction to the referenced `accounts.account_id`."
