study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q001,What information is stored for each customer?,direct_mapping,easy,True,1.0,0.7,30,proceed,adequate,0,True,"Each customer has a unique ID, full name, email address, geographic region code, creation date, and active status. The email must be unique across all customers.","For each customer, the schema stores their profile information in `CUSTOMER_MASTER`, keyed by `CUST_ID` (INT, auto-increment, primary key, not nullable). The stored information includes `FULL_NAME` (VARCHAR(200), not nullable), `EMAIL` (VARCHAR(150), not nullable, unique email address for login), `REGION_CODE` (VARCHAR(10), nullable, geographic region for tax), `CREATED_AT` (DATETIME, not nullable, account creation timestamp), and `IS_ACTIVE` (BOOLEAN, not nullable, whether customer can place orders / active status)."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q002,How are products categorized on the platform?,direct_mapping,easy,True,1.0,0.7,31,proceed,adequate,0,True,"Products belong to categories which can have a parent category, forming a hierarchical tree structure. Each product references exactly one category through its CATEGORY_ID.","Products are categorized through the schema/table relationship between TB_PRODUCT and TB_CATEGORY.

TB_PRODUCT has a CATEGORY_ID column (nullable = NO), which is a foreign key to TB_CATEGORY(CATEGORY_ID). This enforces that each product belongs to exactly one category in the catalogue (“A Product belongs to exactly one Category” in the business glossary; also “Foreign Keys: CATEGORY_ID → TB_CATEGORY(CATEGORY_ID)” in TB_PRODUCT).

TB_CATEGORY stores the category hierarchy using PARENT_CATEGORY_ID, which is nullable = YES and is a self-referencing foreign key: PARENT_CATEGORY_ID → TB_CATEGORY(CATEGORY_ID). This models parent/child category relationships within the category tree."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q003,What is the relationship between customers and sales orders?,direct_mapping,easy,True,1.0,0.9846936454393053,41,proceed,adequate,0,True,"Each sales order is placed by exactly one customer, referenced through the CUST_ID foreign key. A customer can place zero or more orders over time.","In the schema, a customer and a sales order are connected through the foreign key `SALES_ORDER_HDR.CUST_ID`, which references `CUSTOMER_MASTER.CUST_ID`. The business glossary also states that a Sales Order is placed by exactly one Customer, and that a Customer places zero or more Sales Orders."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q004,What does an order line item contain?,direct_mapping,easy,True,1.0,0.9870296135626316,22,proceed,adequate,0,True,"An order line item specifies a product, the quantity ordered, the unit price at time of purchase, and the calculated extended amount. Each line item belongs to exactly one sales order.","An order line item contains a single line within a Sales Order specifying a Product, quantity, and the unit price at the time of purchase. Specifically, it includes a unique line identifier, a reference to exactly one Product, the number of units ordered (QUANTITY), the unit price at order time (UNIT_PRICE), and the extended amount (LINE_AMT), defined as quantity × unit price."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q005,How are payments linked to orders?,direct_mapping,easy,True,1.0,0.909103245693355,35,proceed,adequate,0,True,"Each payment is associated with exactly one sales order through the ORDER_ID foreign key. Payments track the payment method, amount, status, and confirmation timestamp.",Payments are linked to sales orders through the `payment` table’s foreign key relationship: `payment` references `sales_order_hdr` using `order_id -> sales_order_hdr.order_id`. This means each payment is for exactly one Sales Order (as stated in the Payment Relationships summary and supported by the FK relationship).
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q006,What statuses can an order have?,attribute_lookup,easy,True,1.0,0.7,28,proceed,adequate,0,True,"Orders can have one of five statuses defined via CHECK constraint on SALES_ORDER_HDR.STATUS_CODE: PENDING (initial state when order is created), CONFIRMED (payment has been received), SHIPPED (dispatched to customer), DELIVERED (received by customer), or CANCELLED. The business glossary describes the same lifecycle under Sales Order.","An order (Sales Order) can have the following statuses: PENDING, CONFIRMED, SHIPPED, DELIVERED, and CANCELLED. This is defined in the Sales Order business concept “Status: PENDING, CONFIRMED, SHIPPED, DELIVERED, CANCELLED” and also stored in the SALES_ORDER_HDR.STATUS_CODE column with the same set of values."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q007,Which table stores the product SKU information?,direct_mapping,easy,True,1.0,0.982423116732664,49,proceed,adequate,0,True,"The TB_PRODUCT table stores the SKU (Stock Keeping Unit) code for each product, along with product name, category, price, and active status.","The table that stores the product SKU information is `TB_PRODUCT`, in the column `SKU` (VARCHAR(50))."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q008,How can I find all orders placed by a specific customer?,multi_hop,medium,True,1.0,0.7,34,proceed,adequate,0,True,"Query the SALES_ORDER_HDR table filtering by CUST_ID. Each order has a foreign key reference to CUSTOMER_MASTER.CUST_ID, so joining these tables on CUST_ID will show all orders for a customer along with their details.","To find all orders placed by a specific customer, use the foreign key relationship from `SALES_ORDER_HDR` to `CUSTOMER_MASTER`.

`CUSTOMER_MASTER` has primary key `CUST_ID`. `SALES_ORDER_HDR` contains `CUST_ID` as the column “Customer who placed order”, and it has a foreign key `CUST_ID → CUSTOMER_MASTER(CUST_ID)`. Therefore, you can identify a customer by `CUSTOMER_MASTER.CUST_ID = <specific_customer_id>` (or by matching the customer row), then select all rows from `SALES_ORDER_HDR` where `SALES_ORDER_HDR.CUST_ID` matches that `CUSTOMER_MASTER.CUST_ID`.

The join path is: `CUSTOMER_MASTER (CUST_ID)` → `SALES_ORDER_HDR (CUST_ID)` (via the `SALES_ORDER_HDR.CUST_ID` foreign key)."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q009,How does the schema link orders to their individual product line items?,multi_hop,medium,True,1.0,0.7,23,proceed,adequate,0,True,"The ORDER_LINE_ITEM table is the junction entity between SALES_ORDER_HDR and TB_PRODUCT. It contains ORDER_ID (foreign key to SALES_ORDER_HDR) and PRODUCT_ID (foreign key to TB_PRODUCT), allowing a single order to have multiple line items. Each line item also records QUANTITY (constrained to be > 0), UNIT_PRICE, and LINE_AMT.","In the schema, Sales Orders are linked to their individual product line items through the `ORDER_LINE_ITEM` table, where `ORDER_LINE_ITEM.ORDER_ID` is a foreign key referencing `SALES_ORDER_HDR.ORDER_ID`.

The full chain is:
`SALES_ORDER_HDR` (order header) has `ORDER_ID`, and `ORDER_LINE_ITEM` stores each line with `ORDER_ID` (FK to `SALES_ORDER_HDR.ORDER_ID`) plus line-level details like `PRODUCT_ID`, `QUANTITY`, `UNIT_PRICE`, and `LINE_AMT`. Also, each `ORDER_LINE_ITEM` references exactly one product via `ORDER_LINE_ITEM.PRODUCT_ID` → `TB_PRODUCT.PRODUCT_ID`."
AB-BEST-K20,01_basics_ecommerce,run-20260703_125510,Q010,Show me the order hierarchy from customer to line items.,multi_hop,medium,True,1.0,0.7,24,proceed,adequate,0,True,"The hierarchy is: Customer (CUSTOMER_MASTER) → SalesOrder (SALES_ORDER_HDR) → OrderLineItem (ORDER_LINE_ITEM) → Product (TB_PRODUCT). Each customer has orders, each order has line items, and each line item references a product.","From the customer to line items, the hierarchy in the schema is:

Customer (CUSTOMER_MASTER via CUST_ID) → Sales Order (SALES_ORDER_HDR via CUST_ID) → Order Line Items (ORDER_LINE_ITEM via ORDER_ID).

Concretely:
CUSTOMER_MASTER.CUST_ID is referenced by SALES_ORDER_HDR.CUST_ID (Sales orders are placed by exactly one Customer). Then SALES_ORDER_HDR.ORDER_ID is referenced by ORDER_LINE_ITEM.ORDER_ID (each order line item is part of exactly one Sales Order), so the line items for a given customer’s orders are found through those two foreign-key steps."
