study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,04_complex_manufacturing,,QA-001,What information is stored about products in the manufacturing system?,direct_mapping,unknown,True,1.0,0.8870089915514326,0,,adequate,0,True,"Products are tracked with a unique identifier (product_id), descriptive name (product_name), classification as finished good, assembly, or component (product_type), optional parent product reference for hierarchical structures (parent_product_id), standard unit cost (base_cost), typical procurement or production lead time (lead_time_days), and active status flag (is_active).","In the manufacturing system, product information is stored in the `product` table. A `Product` represents manufactured items including finished goods, sub-assemblies, and components, and it supports a hierarchy via a self-referencing relationship.

For each product, the table stores `product_id` (unique identifier, primary key) and `product_name` (required). It also stores `product_type` (classification with default `FINISHED_GOOD` and allowed types `FINISHED_GOOD`, `ASSEMBLY`, `COMPONENT`), and `parent_product_id` (a foreign key back to `product.product_id`) to represent hierarchical parent/child product assemblies. Cost and timing attributes are stored as `base_cost` (not null, default `0.00`, must be >= 0) and `lead_time_days` (not null, default `0`, must be >= 0). The table stores an active status flag `is_active` (not null, default `'Y'`).

The schema also provides an index `idx_product_parent` on `parent_product_id` (where not null) to support hierarchical queries, and the self-referential relationship on `parent_product_id` enables multi-level assemblies (unlimited nesting depth)."
AB-BEST,04_complex_manufacturing,,QA-002,How are components defined in the manufacturing database?,direct_mapping,unknown,True,0.5,0.7,0,,adequate,0,True,"Components are defined with a unique identifier (component_id), descriptive name (component_name), category grouping (component_category), unit of measure (unit_of_measure), standard unit cost (standard_cost), and optional reference to technical specifications (specification_id). Components represent atomic materials or parts that cannot be further decomposed.","Components are defined in the manufacturing database as atomic raw materials and purchased parts that cannot be further broken down into simpler manufactured items. In the schema, this is represented by the `component` table.

Each component has a unique identifier `component_id` (primary key) and descriptive attributes including `component_name` (NOT NULL) and `component_category` (category classification). Components also include a unit of measure `unit_of_measure` (NOT NULL, default `'EA'`, e.g., EA, KG, M, L, etc.) and procurement cost information `standard_cost` (NOT NULL, default `0.00`, with constraint `CHECK >= 0`). An optional link to technical/quality requirements is supported via `specification_id` (present as a column and described as an optional specification reference)."
AB-BEST,04_complex_manufacturing,,QA-003,What is the purpose of the Bill of Materials (BOM) table?,direct_mapping,unknown,True,0.6667,0.9114953379300658,0,,adequate,0,True,"The BOM table defines the hierarchical structure of products by specifying which components or sub-assemblies are required to manufacture each parent product. It records the unique BOM entry identifier (bom_id), parent product being built (parent_product_id), component or sub-assembly product (component_product_id), required quantity per unit (quantity), unit of measure, depth level in the hierarchy (bom_level), and whether the component is optional (is_optional).","The purpose of the `bom` (Bill of Materials) table is to define a product’s composition and hierarchical structure. Each BOM entry specifies the parent product (what is being built), the component product (what goes into it), the required `quantity` and `unit_of_measure`, and the `bom_level` (depth in the product hierarchy). It also supports multi-level assemblies through recursive relationships between products, and it marks components as optional via `is_optional`.

The glossary further states that the BOM structure is used for material requirements planning and that BOM levels support hierarchical product explosions."
AB-BEST,04_complex_manufacturing,,QA-004,What supplier information does the system maintain?,direct_mapping,unknown,True,1.0,0.7,0,,adequate,0,True,"Suppliers are tracked with a unique identifier (supplier_id), legal business name (supplier_name), primary contact email (contact_email), primary contact phone number (contact_phone), performance rating from 1.0 to 5.0 (rating), and preferred supplier status flag (is_preferred).","The system maintains supplier information in the `supplier` table and includes the supplier’s unique identifier (`supplier_id`) and name (`supplier_name`), plus contact details (`contact_email`, `contact_phone`), a quality/performance rating (`rating`, defaulting to 3.00 and constrained to 1.0–5.0), and whether the supplier is marked as preferred (`is_preferred`, defaulting to 'N')."
AB-BEST,04_complex_manufacturing,,QA-005,How are warehouses represented in the schema?,direct_mapping,unknown,True,1.0,0.7,0,,adequate,0,True,"Warehouses are defined with a unique identifier (warehouse_id), descriptive name (warehouse_name), full street address (address), city location (city), state or province (state), total storage capacity in cubic meters (capacity), and optional manager identifier (manager_id).","Warehouses are represented by the physical table `warehouse` (identified by `warehouse_id`). The schema’s `warehouse` table stores each warehouse’s identifying details, including its geographic location and capacity, and the manager responsible for the facility—specifically `warehouse_id`, `address`, `city`, `state` (mentioned in the Warehouse description), `capacity`, and `manager_id`.

In the supply chain relationships, warehouses are used as nodes where inventory is held and shipments are received and shipped: `shipment.warehouse_id` is a foreign key referencing `warehouse(warehouse_id)`, and the business concept also states that warehouses contain multiple `Inventory` records and are linked to `Work Orders` for production staging."
AB-BEST,04_complex_manufacturing,,QA-006,What does the inventory table track?,direct_mapping,unknown,True,0.8,0.7,0,,adequate,0,True,"The inventory table tracks real-time stock levels including a unique record identifier (inventory_id), warehouse location (warehouse_id), component identifier for materials (component_id) or product identifier for finished goods (product_id), current physical stock quantity (quantity_on_hand), quantity reserved for open work orders (quantity_reserved), threshold that triggers purchase orders (reorder_threshold), and most recent restock date (last_restock_date).","The `inventory` table tracks current inventory levels of components and products stored in specific warehouses. Each inventory record stores quantity on hand (available stock), quantity reserved (allocated but not shipped), a reorder threshold to trigger procurement, and the last restock date. Inventory records are tied to a `warehouse_id` and reference either a `product_id` or a `component_id` (the component vs. product reference is mutually exclusive within the same record)."
AB-BEST,04_complex_manufacturing,,QA-007,How are work orders structured in the manufacturing system?,direct_mapping,unknown,True,1.0,0.8510885144206358,0,,adequate,0,True,"Work orders represent production jobs with a unique identifier (work_order_id), product to be manufactured (product_id), optional parent work order for nested hierarchies (parent_work_order), quantity to produce (quantity_ordered), quantity completed so far (quantity_completed), current status (PENDING, IN_PROGRESS, COMPLETED, CLOSED), priority level (LOW, MEDIUM, HIGH, URGENT), planned start and end dates, and warehouse production location (warehouse_id).","Work orders are structured as production jobs that can be organized hierarchically. In the `work_order` table, each work order has a required `product_id` (a foreign key to `product(product_id)`) and an optional link to a parent work order via `parent_work_order`, which is a foreign key to `work_order(work_order_id)`. This self-referential relationship enables work order decomposition, where a large production job can be broken into child work orders for different production stages or sub-assemblies.

Additionally, each work order tracks production quantities (`quantity_ordered` and `quantity_completed`) with constraints (`quantity_ordered` must be > 0; `quantity_completed` must be between 0 and the ordered quantity), lifecycle status (`status` with values PENDING, IN_PROGRESS, COMPLETED, CLOSED), priority (`priority` with values LOW, MEDIUM, HIGH, URGENT), planned timing (`planned_start_date` and `planned_end_date`, with a `chk_dates_consistent` rule ensuring end_date >= start_date), and a production location via `warehouse_id` (foreign key to `warehouse(warehouse_id)`)."
AB-BEST,04_complex_manufacturing,,QA-008,What information is captured in the shipment table?,direct_mapping,unknown,True,1.0,0.8136089277699804,0,,adequate,0,True,"Shipments track material transfers with a unique identifier (shipment_id), shipment type (INBOUND from suppliers, OUTBOUND to customers, INTERNAL between warehouses), destination warehouse (warehouse_id), source supplier for inbound (supplier_id), destination customer for outbound (customer_id), ship date, estimated and actual arrival dates, and current status (PENDING, SHIPPED, DELIVERED, CANCELLED).","The `shipment` table captures records of material transfers between locations (warehouses, suppliers, and customers). It includes shipment identifiers (`shipment_id` as the primary key), the shipment classification (`shipment_type` as `INBOUND`, `OUTBOUND`, or `INTERNAL`), and references to involved parties and locations (`warehouse_id` as a foreign key to `warehouse`, `supplier_id` as a foreign key to `supplier` for inbound shipments, and `customer_id` as the customer reference for outbound shipments).

It also tracks shipping dates and milestones: `ship_date` (required), `estimated_arrival`, and `actual_arrival`. Finally, it records the shipment’s current processing state in `status` (a `shipment_status_t` enum with `PENDING`, `SHIPPED`, `DELIVERED`, `CANCELLED`, defaulting to `PENDING`, and required as NOT NULL)."
AB-BEST,04_complex_manufacturing,,QA-009,How does the quality control system record inspections?,direct_mapping,unknown,True,0.3333,0.7,0,,adequate,0,True,"Quality control records are stored with a unique identifier (qc_id), associated production batch (batch_id), applicable specification requirements (specification_id), inspection date (qc_date), inspection type (INCOMING for supplier materials, IN_PROCESS during manufacturing, FINAL for finished goods), inspector identifier (inspector_id), inspection result (PASS, FAIL, CONDITIONAL), number of defects found (defect_count), and detailed observations (notes).","The quality control system records inspections in the `quality_control` table. Each record captures a unique QC identifier (`qc_id`), the production batch being inspected (`batch_id`), the specification under test (`specification_id`), and the inspection date (`qc_date`), which is required (`NOT NULL`).

It also records the type of inspection (`qc_type`), constrained to `INCOMING`, `IN_PROCESS`, or `FINAL` (`NOT NULL`), the inspector (`inspector_id`), and the inspection outcome in `result`, which is required (`NOT NULL`) and constrained to `PASS`, `FAIL`, or `CONDITIONAL`. If defects are found, it records `defect_count` (default 0, must be `>= 0`) and stores any additional inspection notes in `notes`.

The table is also indexed to support searching by `batch_id`, `specification_id`, `qc_date`, and `result` (with indexes only where those fields are not null)."
AB-BEST,04_complex_manufacturing,,QA-010,What do specification records define?,direct_mapping,unknown,True,1.0,0.9073122213606241,0,,adequate,0,True,"Specifications define technical requirements with a unique identifier (specification_id), descriptive name (specification_name), version number, effective date, specification type (DIMENSIONAL, MATERIAL, PERFORMANCE), critical parameter being measured (critical_parameter), acceptable minimum value (min_value), acceptable maximum value (max_value), and unit of measure for the parameter values.","Specification records define the technical requirements, standards, and acceptance criteria for materials or products. In the schema/context, a Specification includes version numbers, effective dates, specification types (dimensional, material, performance), critical parameters to test, and acceptable value ranges with units of measure. Specifications are used for quality control by defining the requirements being tested."
