study_id,dataset_id,run_tag,query_id,question,query_type,difficulty,grounded,gt_coverage,retrieval_quality_score,retrieval_chunk_count,retrieval_gate_decision,context_sufficiency,grader_rejection_count,grader_consistency_valid,expected_answer,generated_answer
AB-BEST,06_edgecases_legacy,run-20260703_110655,1,What is the purpose of the tblCustomer table?,unknown,unknown,True,1.0,0.9921537607074791,16,proceed,adequate,0,True,"The tblCustomer table stores customer master data including customer codes, names, email addresses, and region information. It uses Hungarian notation with the str prefix for string fields and contains both legacy fields (strCustID, strFullName) and new migration compatibility fields (cust_id, customer_name).",The `tblCustomer` table’s purpose is to store customer master data from the legacy CRM system (CustomerMaster v3.2.1).
AB-BEST,06_edgecases_legacy,run-20260703_110655,2,How are customers identified in the legacy system?,unknown,unknown,True,1.0,0.8292155820981656,19,proceed,adequate,0,True,"Customers are identified by strCustID, which is a VARCHAR(50) field containing alphanumeric customer codes inherited from an AS/400 system. These codes follow formats like C-XXXXX or REG-XXXX and can contain letters, numbers, and hyphens.","In the legacy CustomerMaster v3.2.1 system, customers are identified by the unique customer code `strCustID` in the `tblCustomer` table. `strCustID` is an alphanumeric identifier inherited from the AS/400 system, stored as a `VARCHAR(50)` with formats like `C-XXXXX` or `REG-XXXX`, and it is defined as NOT NULL and UNIQUE (primary key)."
AB-BEST,06_edgecases_legacy,run-20260703_110655,3,What table stores order header information and what is its primary key?,unknown,unknown,True,1.0,0.7431680086124811,17,proceed,adequate,0,True,"Order header information is stored in the vw_SalesOrderHdr table despite the vw_ prefix suggesting it's a view. The primary key is lngOrderID, which is an INT field using the lng (long integer) Hungarian notation prefix.","The order header information is stored in the table `vw_SalesOrderHdr`, and its primary key is `lngOrderID` (INT, PK)."
AB-BEST,06_edgecases_legacy,run-20260703_110655,4,Which table in the schema uses a SQL reserved word as its name?,unknown,unknown,True,0.0,0.7,6,proceed,adequate,0,True,The schema includes two tables that use SQL reserved words: 'Group' (for product categories) and 'User' (for system users). These require square bracket quoting [Group] and [User] in SQL queries to avoid syntax errors.,"The schema uses SQL reserved words as table names: `Group` and `User`. Both are noted as reserved words that must be quoted as `[Group]` and `[User]`, respectively."
AB-BEST,06_edgecases_legacy,run-20260703_110655,5,What is the relationship between vw_SalesOrderHdr and tblCustomer?,unknown,unknown,True,1.0,0.9987600038640845,6,proceed,adequate,0,True,"vw_SalesOrderHdr has a foreign key relationship with tblCustomer through the intCustID field, which references strCustID. Despite the int prefix suggesting an integer, intCustID is actually a VARCHAR(50) field matching the strCustID data type.",`vw_SalesOrderHdr` relates to `tblCustomer` through the foreign key `vw_SalesOrderHdr.intCustID` → `tblCustomer.strCustID`. The relationship is described as one-to-many: a single customer (`tblCustomer`) can have many orders over time (`vw_SalesOrderHdr`).
AB-BEST,06_edgecases_legacy,run-20260703_110655,6,What naming convention is used for the inventory transaction log table?,unknown,unknown,True,1.0,0.9305845275935024,15,proceed,adequate,0,True,"The inventory transaction log table is named 'inv_txn_log' using abbreviated naming with underscore separators. Field names within this table are also heavily abbreviated: txn_id (transaction ID), txn_dt (transaction date), txn_type (transaction type), and prod_id (product ID).","The inventory transaction log table is named `inv_txn_log`, which uses the `inv_` prefix naming convention."
AB-BEST,06_edgecases_legacy,run-20260703_110655,7,What data quality issue exists in the tblProduct unit_cost field?,unknown,unknown,True,0.0,0.8596637505099167,5,proceed,adequate,0,True,"The tblProduct.unit_cost field has an inappropriate data type - it's defined as VARCHAR(20) instead of DECIMAL. This field contains currency symbols like '$19.99' which require parsing before calculations can be performed, making it unusable for mathematical operations without transformation.","In `tblProduct`, the `unit_cost` field has a data quality issue: it is stored as a `VARCHAR(20)` instead of a proper `DECIMAL` money type, and it “contains `$` symbols” (so it “requires parsing before calculations”)."
AB-BEST,06_edgecases_legacy,run-20260703_110655,8,How does the ord_line_item table handle product data redundancy?,unknown,unknown,True,1.0,0.7015086314690147,14,proceed,adequate,0,True,The ord_line_item table contains redundant copies of product data (product_code and item_name) that are denormalized for reporting performance and to snapshot product information at the time of order. These fields may become out of sync with the tblProduct master and should not be updated from product master changes.,"The retrieved context indicates that the schema includes denormalized, redundant fields for order line items. Specifically, it lists “Denormalized redundant fields (product_code, item_name in line items)” as a known issue. This implies `ord_line_item` stores product-related information directly on the line item (for example, product identifiers and item details), rather than only referencing a separate product record—creating redundancy in product data."
AB-BEST,06_edgecases_legacy,run-20260703_110655,9,What are the valid values for the strOrderStatus field in vw_SalesOrderHdr?,unknown,unknown,True,1.0,0.9125920825087166,19,proceed,adequate,0,True,"The strOrderStatus field accepts three values enforced by a CHECK constraint: 'PENDING' (order received but not shipped), 'SHIPPED' (order has been shipped to customer), and 'CANCELLED' (order cancelled before shipping).","The `vw_SalesOrderHdr.strOrderStatus` field (order workflow status) is constrained to the following valid values: `PENDING`, `SHIPPED`, and `CANCELLED`."
AB-BEST,06_edgecases_legacy,run-20260703_110655,10,Which table stores payment information and what security issue does it have?,unknown,unknown,True,1.0,0.7,13,proceed,adequate,0,True,"Payment information is stored in the tblPayment table. The table has a critical security issue: the CardNumberText field stores full unencrypted credit card numbers as VARCHAR(100), which is a PCI compliance violation. The system also lacks proper tokenization and encryption at rest.",The `tblpayment` table stores payment information. The security issue it has is that it stores the full card number as plaintext text in the `CardNumberText` field (“Full card number stored as text! - Should be tokenized - Contains unencrypted PAN (Primary Account Number)”).
AB-BEST,06_edgecases_legacy,run-20260703_110655,11,What is the purpose of the bolActive field in tblCustomer and tblProduct?,unknown,unknown,True,1.0,0.9645892699236761,35,proceed,adequate,0,True,"The bolActive field (using Hungarian notation 'bol' for boolean/bit) is a flag indicating whether a record is active. In tblCustomer, it marks whether customers are included in marketing (1=active, 0=inactive). In tblProduct, it indicates product availability (1=available for sale, 0=discontinued).","In `tblCustomer`, `bolActive` is an “Active customer flag” with values `1 = active` and `0 = inactive`. The business rule states that “Inactive customers [are] excluded from marketing,” and customers “are never deleted.”

In `tblProduct`, `bolActive` is a “Product availability flag” with values `1 = available for sale` and `0 = discontinued or out of circulation`."
AB-BEST,06_edgecases_legacy,run-20260703_110655,12,How are inventory transactions tracked in the system?,unknown,unknown,True,1.0,0.7,14,proceed,adequate,0,True,"Inventory transactions are tracked in the inv_txn_log table, which records all stock movements. Each transaction has a type (txn_type): 'IN' for receipts, 'OUT' for shipments, and 'ADJ' for corrections. The table uses heavily abbreviated field names and references products via prod_id.","Inventory transactions are tracked in the `inv_txn_log` table as an audit log of stock quantity changes.

The `inv_txn_log` table records each inventory transaction with a transaction identifier `txn_id`, the product being adjusted via `prod_id` (a foreign key to `tblProduct.intProdID`), the transaction type `txn_type`, the quantity change `qty`, the timestamp `txn_dt`, and supporting references and notes. `txn_type` indicates whether the transaction is an `""IN""` (receipts), `""OUT""` (shipment/adjustment), or `""ADJ""` (correction) and the quantity sign reflects this (positive for `""IN""`, negative for `""OUT""`, and can be positive or negative for `""ADJ""`). It also stores a reference number `ref_num` (such as an order number, PO number, or adjustment code), and `user_id` for the user who initiated the transaction (it references `User.UserName`, though this is “not enforced by FK”), plus free-form `notes`.

At the business rule level, the current inventory quantity is tracked as the sum of all `""IN""` transactions minus all `""OUT""` transactions."
